sequence,rows,all_changes,any_changes,jaccards
"1071,27,541,2082,438,539,377,63,161,809,556,969,1979,1178,1203,535,515,574,2001,938,896,59,69,388,445,1169,995,612,532,86,1713,930,350,2065,41,2037,49,22,1435,185,983,440,172,755,520,243,1146,569,1157,567",1,87.908,97.949,4.233
"1073,129,24,133,98,384,93,256,327,172,124,60,28,111,899,885,612,216,719,1476,840,598,200,112,1508,209,1040,202,547,114,49,217,210,214,588,206,79,1169,168,624,394,1004,715,1560,759,771,634,207,566,2495",1,20.702,75.547,44.789
"1085,1727,93,1693,878,8,6,14,16,169,548,386,793,756,564,1500,712,689,693,201,1304,714,1212,1035,735,605,487,39,211,152,1136,871,333,916,446,892,863,172,185,516,165,336,291,522,872,789,168,281,49,817",1,14.413,14.413,66.986
"109,293,1624,129,387,127,49,28,346,478,1452,312,796,2127,4,159,130,102,630,275,1450,666,515,445,344,771,2084,720,177,507,889,1483,27,658,353,1196,502,909,896,1217,433,329,466,2100,305,568,320,874,1965,147",1,28.772,79.487,35.265
"1099,762,141,1062,474,2148,492,144,1587,1996,1080,372,27,862,511,1311,2103,202,140,42,166,124,1638,19,764,412,58,329,169,325,476,1107,313,1575,284,766,1650,1234,1265,1108,897,467,514,285,258,143,2000,2421,43,2432",1,2.375,2.375,73.67
"11,51,18,41,597,390,5,38,589,613,621,633,391,26,17,35,924,39,1146,93,133,114,252,323,433,190,134,161,565,87,1327,1076,306,499,896,1527,397,881,871,291,135,542,388,890,1874,2241,892,1443,418,476",1,14.926,52.74,58.008
"11,589,597,609,208,1047,613,633,610,441,31,671,47,1077,1178,26,1221,672,516,353,513,5,789,791,1997,70,292,1136,274,882,1388,881,869,1116,214,326,912,604,105,2188,2848,336,58,749,1476,435,1229,1110,670,93",1,38.704,89.123,23.748
"110,521,220,281,2570,1952,2577,1988,2135,1201,1324,3458,178,236,1793,542,69,2139,1929,334,1060,511,3,777,404,11,10,1863,1532,415,2221,46,332,1046,613,1762,636,38,2142,2184,2328,427,1608,389,41,135,566,1668,366,85",1,14.386,44.858,61.875
"1107,57,146,266,594,1257,323,2755,1916,1688,417,75,2363,902,696,919,909,1791,488,1768,1408,2498,1059,549,1341,1685,1407,1329,1600,479,1063,224,512,509,2646,472,1310,1409,704,1402,641,119,1849,2029,1766,2125,1386,1083,1418,2198",1,8.043,56.95,60.21
"1114,192,768,149,147,631,1372,1275,1059,273,844,904,213,855,763,168,260,22,24,796,245,52,23,211,1552,1241,598,40,1846,97,382,1587,218,10,42,391,432,719,85,281,135,51,41,129,824,247,539,117,199,392",1,54.629,98.57,21.37
"1119,386,1434,1342,61,218,1177,490,626,694,2131,539,2012,1115,1084,1343,644,238,800,1895,809,455,1796,826,789,1683,858,816,172,60,69,670,1277,91,407,1441,656,3064,664,738,1268,1195,882,1185,1832,219,55,25,1372,2666",1,71.039,98.219,10.582
"1121,339,662,1510,1530,1071,106,767,612,487,2004,2047,210,204,835,1353,184,176,951,125,6,1518,237,1116,798,757,45,327,128,216,393,2578,1024,248,412,1080,1099,1242,1241,566,2581,195,720,282,137,715,161,776,618,732",1,41.592,94.251,17.908
"1127,965,1120,214,274,1119,1459,1811,1180,264,1815,1818,869,741,193,1209,1156,189,1812,1680,1910,791,269,1001,2237,2377,1218,203,636,2393,1729,1814,2159,761,132,2387,1192,1813,911,967,1133,1809,1816,1819,878,1260,1506,1820,1919,1932",1,38.974,38.974,46.921
"1131,1260,1426,2354,1809,1142,911,1115,2837,2643,1910,218,965,663,45,125,600,539,962,744,27,848,703,1271,1019,776,2374,966,1009,529,644,647,1475,725,1059,1008,587,985,763,631,433,2018,559,865,857,513,969,1076,760,809",1,17.517,94.602,23.453
"1132,202,1625,217,729,1155,1269,100,1040,1728,1547,83,1459,1508,1023,701,1765,723,2331,894,2343,2742,835,2234,1558,2129,764,554,2110,2432,205,141,432,1616,624,1574,1941,1263,1622,2117,1569,710,1570,3023,3044,1722,1331,312,603,214",1,32.848,96.869,27.274
"1139,2552,925,1133,2966,1181,1444,622,1618,1835,1342,688,1153,1103,576,182,1067,1425,1827,2329,1165,1852,823,2849,1318,3015,2544,1696,2608,3313,1867,2202,1364,1602,1608,2138,2795,2872,3424,928,3017,2271,2137,2879,2419,1603,1604,8,105,135",1,11.066,99.109,38.32
"114,120,644,647,65,990,1015,27,536,89,51,382,540,30,105,317,525,276,135,69,532,838,542,854,534,752,314,247,264,902,86,733,318,517,2159,1614,406,2092,1930,1855,523,861,294,516,863,353,867,5,789,791",1,59.703,59.703,39.984
"114,879,1873,1713,994,523,545,69,168,51,247,93,49,68,11,245,52,507,41,195,816,281,337,437,505,1971,39,117,133,375,284,485,1630,923,40,98,273,318,906,313,391,510,652,542,1146,811,350,2848,407,214",1,16.788,52.443,57.73
"1144,1426,2387,869,193,1180,1131,1296,1132,1179,2014,483,1571,1577,1926,1818,2369,604,1112,1115,2837,1501,1742,1133,975,1814,981,2354,2377,1811,1912,132,2366,1723,2672,1809,1812,1735,1145,3008,2950,2948,3307,2391,1297,1176,2624,2358,1740,1817",1,25.047,25.047,57.962
"1146,189,844,149,1440,529,118,763,1842,41,1034,105,538,816,506,190,539,252,289,120,1015,631,565,1059,87,620,360,161,776,61,556,1260,588,703,768,128,65,219,187,644,645,647,559,676,1082,201,1605,1418,1243,1134",1,32.011,72.2,36.212
"1155,615,1707,865,645,636,1335,1958,1163,133,129,51,540,98,172,243,135,41,291,40,465,375,1420,582,114,940,568,484,370,784,145,34,146,1708,121,1119,336,538,180,28,1174,973,147,464,118,606,741,904,483,1596",1,78.623,78.623,11.556
"1186,199,1271,1309,564,548,1290,372,1051,702,1658,2619,2254,1314,1642,833,516,580,1043,2139,515,286,177,335,553,1963,1865,693,425,772,172,261,2223,467,1660,792,1626,1277,90,1253,1352,1257,1929,815,731,738,2097,872,1052,1691",1,5.749,5.749,71.227
"120,645,1059,809,1665,642,763,971,755,87,134,2556,99,2140,684,108,556,1191,1210,739,1251,1724,1014,1716,1266,1842,955,1185,1725,2168,1723,2165,1104,1656,2518,168,257,245,105,1,506,1489,24,49,695,52,418,598,487,163",1,13.198,13.198,65.825
"121,496,297,387,857,844,149,94,1227,892,1391,245,168,3040,105,51,175,662,160,796,260,2012,598,507,322,68,816,863,789,2955,734,318,52,24,41,195,281,135,337,817,2544,831,1888,542,4,2092,2019,923,465,327",1,30.499,30.499,40.547
"1210,755,2014,1723,2520,1064,2974,2663,1718,1159,1116,601,1127,214,2713,1459,432,2369,1531,1118,1122,1536,595,274,3431,302,1123,1129,1509,1577,869,1150,1117,2371,1128,2372,2468,1112,1886,636,1501,2977,2237,2557,585,1977,716,1154,2840,2969",1,10.256,81.377,50.993
"1212,901,718,123,207,172,336,61,353,190,161,1059,134,1420,686,734,114,897,631,87,433,252,606,809,1191,1727,1260,1210,1718,34,142,378,165,528,332,1201,291,568,90,872,538,1182,557,746,826,149,467,891,1136,522",1,19.082,19.082,66.726
"1227,777,844,127,203,536,56,382,185,117,506,516,142,221,317,351,528,1034,380,2605,244,891,291,222,286,366,130,383,1012,2471,397,1201,1366,1088,1460,1392,567,730,1852,700,946,247,245,52,68,24,435,670,1132,85",1,64.13,97.436,13.14
"123,157,190,146,151,196,896,94,91,349,776,434,2175,844,84,161,1108,1174,490,1146,1059,75,158,147,59,531,167,2574,80,910,1440,431,851,1871,777,837,73,648,164,2436,442,1103,1841,879,2332,1990,2200,1064,1045,1085",1,30.985,64.157,43.782
"123,289,1146,1244,265,906,152,320,1015,252,880,323,1059,87,844,896,494,1191,536,22,5,955,2185,190,365,114,600,156,539,161,684,529,120,1076,897,1001,125,1242,65,739,744,97,45,1017,663,1941,612,44,1,1458",1,11.417,77.868,41.671
"123,543,439,448,825,526,558,270,28,1303,440,797,461,918,90,1527,266,594,471,551,2493,1951,1986,512,465,364,1749,1399,2108,1849,2924,473,2089,890,1982,1600,2830,509,1961,493,2646,3192,2675,504,224,1935,2671,1329,2911,369",1,10.283,10.283,74.591
"1233,1455,539,190,252,63,776,114,529,763,161,513,990,749,725,865,841,120,645,134,620,880,556,1327,565,989,684,930,1846,756,1500,76,117,276,372,770,317,336,130,351,1290,2471,383,538,815,1630,1257,2223,535,872",1,10.931,10.931,61.004
"1235,890,524,888,3215,2412,2145,2900,305,1690,2862,1954,1884,1689,1422,545,24,123,1825,1833,394,395,398,195,611,1609,917,1832,2036,1860,909,1926,2546,1347,1472,161,698,350,1070,976,327,1059,522,2452,1570,2215,1452,388,2119,1015",1,56.41,97.976,16.677
"124,1825,1833,2234,846,395,209,917,1840,1301,84,398,1383,339,1450,1238,1451,1232,560,2233,1241,961,247,122,1446,744,986,946,1010,1040,1150,432,1159,1116,601,1127,1536,1129,214,213,375,1132,869,991,595,274,1119,2014,1117,1122",1,7.908,65.236,58.943
"124,98,382,185,436,901,1668,661,1928,539,166,466,152,5,2760,79,114,537,1257,222,391,515,909,617,359,75,383,479,434,329,522,367,577,2568,1595,118,158,594,177,668,2238,1529,732,130,35,17,121,2267,1329,406",1,41.188,95.331,21.418
"125,6,391,22,1075,20,435,612,45,260,1299,207,52,89,540,23,530,274,211,11,421,663,694,176,601,187,172,14,44,644,774,1332,95,983,715,1110,647,670,516,317,65,85,152,214,53,219,1116,284,5,114",1,42.699,94.494,17.949
"1268,92,1085,168,245,487,536,1467,68,195,30,52,1731,1116,39,207,382,14,1159,337,8,1234,97,3083,316,2004,16,632,757,983,243,540,117,1345,615,184,142,42,359,76,1302,336,86,362,610,1211,1129,40,284,1537",1,80.054,80.054,19.64
"1274,956,200,1069,214,98,111,157,218,1070,665,49,215,715,217,1110,187,93,703,273,729,65,588,58,1023,1072,114,105,6,185,8,207,771,135,724,23,1636,276,178,2004,757,2484,125,168,257,129,52,24,322,421",1,18.839,18.839,58.791
"128,729,214,670,211,1473,79,91,301,265,118,971,245,1538,836,983,2611,106,97,1625,1546,1845,1613,835,205,45,289,215,630,322,39,1263,2265,524,1040,41,597,609,1047,219,22,432,595,2578,791,550,284,239,125,634",1,18.785,95.223,26.622
"129,1065,206,292,435,4,179,2092,957,886,3574,1,1395,1530,1467,771,560,1543,670,487,176,2110,45,1263,1518,171,1540,601,634,835,566,757,2234,97,764,141,432,862,214,554,678,1574,632,1503,595,2571,1384,1642,2127,3233",1,48.07,48.07,41.41
"129,150,1071,106,1110,175,554,663,157,97,88,154,418,436,40,526,11,597,3,697,1532,2042,2221,727,9,613,633,1624,415,2044,38,15,135,1762,83,429,383,54,1047,824,610,17,799,27,208,581,1595,5,324,46",1,6.208,42.267,67.862
"1298,207,6,1530,771,798,1211,506,178,757,1518,1492,23,1345,2223,200,618,2004,142,586,601,632,566,1121,626,176,146,362,1271,1988,1302,638,1567,756,816,1802,447,2300,1311,274,866,1498,624,1914,540,171,276,374,383,795",1,6.073,48.853,68.019
"1299,1529,614,604,516,757,177,872,2417,735,539,1112,529,663,1273,642,120,1134,644,645,647,1001,377,76,133,1980,392,1011,1955,492,419,1385,178,1311,20,624,615,1281,253,568,594,274,98,770,218,1019,584,582,1383,1043",1,10.229,94.656,25.507
"1299,274,757,626,199,1311,5,742,184,538,712,34,597,609,833,535,731,553,46,393,689,643,1309,1314,372,789,208,1352,677,699,425,392,640,169,397,515,177,815,522,580,401,1237,1257,84,1517,1366,730,738,691,1265",1,4.211,84.912,51.048
"1314,129,1836,670,24,421,10,662,2757,106,49,1856,353,874,909,2029,928,791,2216,70,509,1709,364,920,436,269,502,220,274,878,890,932,936,339,1003,1125,2009,333,360,1367,2160,881,308,899,916,219,2140,446,892,1752",1,66.937,66.937,21.516
"1325,482,1346,1437,127,92,881,1355,1771,850,1750,1382,1766,1367,809,1397,41,317,51,1195,34,2238,190,552,1182,984,872,1339,826,875,591,1055,789,1315,232,567,451,622,275,675,353,1681,1334,1335,704,194,794,1387,658,628",1,19.703,19.703,60.311
"133,216,1476,65,218,1042,152,114,214,211,98,1081,720,217,210,79,200,241,588,265,187,91,167,111,620,137,434,192,386,138,196,529,93,712,387,80,644,647,714,1473,1020,1114,92,1483,1059,59,1694,1666,147,123",1,14.332,73.441,39.397
"1332,2571,154,157,2689,2149,1964,171,101,1625,418,1065,1587,7,230,526,112,2307,694,1300,1606,862,281,663,1234,1629,1467,1229,85,795,40,1922,586,849,59,3184,1739,1802,475,293,1212,912,2675,611,124,1301,84,398,2633,1287",1,30.526,95.628,20.225
"1339,578,675,2006,357,1387,557,801,522,1322,2373,419,704,2435,1757,615,2343,1935,827,740,1182,875,1745,1166,1175,444,731,2889,1758,261,747,2623,1068,1281,2116,1286,686,212,667,1569,136,863,406,2839,23,568,178,798,1311,712",1,28.286,28.286,48.53
"1345,366,383,673,520,445,507,707,461,626,4,1195,1951,449,261,406,1043,872,387,372,215,807,1186,522,2157,1432,891,733,572,1928,826,1888,1744,1489,526,510,923,290,2634,112,281,546,313,123,800,535,485,705,794,1658",1,7.557,80.513,43.979
"1346,639,1432,736,567,1213,788,1686,747,198,605,1217,1154,1212,2649,602,648,619,1231,794,1322,1226,1358,811,2680,813,1383,2847,1103,2263,688,1067,2828,576,773,1138,1204,700,2687,2339,1867,1601,1400,2166,823,1891,1224,2419,2960,2868",1,53.09,53.09,38.88
"1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2147,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2055",1,43.212,43.212,44.319
"1349,23,200,211,445,382,10,796,64,97,432,218,85,40,1298,195,571,2595,88,327,1159,697,1674,951,1467,285,604,205,1530,117,14,184,98,142,6,187,480,2498,96,539,429,21,742,146,903,274,202,141,120,566",1,58.165,58.165,23.263
"135,378,528,643,177,731,344,538,20,516,336,1201,370,693,2417,619,397,275,1186,515,90,794,357,872,640,568,557,1304,1231,1849,84,593,399,684,628,1222,914,735,194,1827,700,1141,1338,1084,1859,2271,325,591,185,1692",1,58.138,58.138,28.906
"1356,1375,716,424,778,197,736,593,1618,676,1231,2871,1594,181,2874,1364,2680,2552,677,393,1309,564,548,386,843,278,206,1042,841,1698,125,749,948,65,744,168,260,24,928,933,867,502,339,931,801,360,1388,932,871,333",1,30.229,81.484,33.102
"137,382,1468,554,1242,2235,1229,171,20,1099,88,634,2031,211,757,112,176,2962,1110,991,284,1353,724,372,27,98,327,521,1731,1345,1658,274,1320,190,1476,1540,632,1009,1002,983,548,1146,105,2026,328,980,318,61,500,69",1,8.043,23.671,81.446
"1373,176,581,435,835,123,2462,2567,2289,2159,2423,1887,1881,3703,2709,356,438,41,484,338,434,313,239,2336,28,1025,2653,3286,1788,2139,2751,3252,2420,1310,3454,7,1406,2001,1830,1267,254,980,185,2048,999,51,1541,68,861,542",1,13.225,90.202,38.736
"1383,1143,1316,1656,182,2883,1064,1147,1084,2829,2620,889,915,1608,879,2294,1085,2879,2862,2653,1045,477,2115,2055,1095,2641,2021,1397,2320,1030,1153,2781,1170,1918,1833,1006,1707,643,219,1559,2037,778,869,2828,832,69,238,1245,407,520",1,8.124,45.263,67.163
"1384,1091,1854,779,601,210,1116,326,1577,432,1180,886,741,556,1811,1814,1744,911,1163,99,1809,1812,1813,1735,2260,3235,1140,1733,2186,1051,1063,1738,1052,683,1402,1419,410,614,1418,125,1844,339,3,618,727,768,642,386,359,476",1,9.177,66.64,49.265
"1385,582,165,123,538,511,383,145,1861,190,535,325,121,1614,542,268,245,172,291,152,40,28,60,90,815,243,1529,488,118,1039,83,407,128,168,125,45,187,662,97,14,1062,1116,548,65,218,715,214,1406,23,58",1,31.201,67.692,40.824
"1397,83,19,145,602,179,1463,199,1624,2062,2600,404,406,2499,1347,1043,215,2102,2921,1488,696,1149,615,1888,1255,3509,2352,1547,1713,430,2327,1598,267,2623,2236,207,51,733,382,771,171,185,598,601,135,85,1345,200,724,649",1,16.707,59.703,54.835
"1424,547,367,497,2156,606,207,98,1452,1640,39,663,885,133,152,337,257,1201,734,820,455,877,1169,1147,70,870,2159,2216,500,268,69,517,2092,994,1881,1936,523,861,1167,588,852,219,187,167,206,63,759,190,1042,260",1,21.538,94.359,30.559
"144,632,1383,500,2092,523,1137,2026,1101,1692,373,318,185,17,287,1769,1794,342,881,339,1349,404,1536,1060,571,122,1519,3115,795,1094,934,458,1248,958,1624,696,1404,2634,1213,557,1472,199,315,1645,402,2424,920,972,943,1958",1,66.667,66.667,27.321
"1452,105,2309,185,961,1541,307,744,1081,697,171,276,259,1731,195,200,1765,1466,207,1024,1518,1298,2450,951,798,543,757,129,56,1467,218,117,987,3115,646,959,643,1546,1154,205,1943,2612,1538,1232,136,1093,1254,2489,44,2348",1,23.536,86.775,34.347
"146,2160,2770,705,266,1305,90,2081,224,1669,37,793,822,488,1908,413,1394,909,2100,1360,1774,448,888,2755,462,2471,115,1935,2422,1059,2300,509,2744,1310,2555,482,1982,3191,1897,451,159,2246,1975,1435,446,1749,1861,2688,660,754",1,5.02,54.467,67.031
"1466,52,48,106,1457,277,2066,322,663,2589,175,2903,10,267,2067,125,2484,1731,673,178,356,168,68,112,245,1646,530,665,148,55,1640,2713,142,302,1065,281,1607,337,1452,1459,1240,2586,2501,1762,2034,983,128,313,1587,7",1,13.846,75.277,51.575
"1472,70,35,571,1645,199,426,503,696,397,865,1398,1692,1453,8,1499,1284,1502,30,536,2270,10,45,51,1449,129,771,612,24,382,41,168,48,338,799,1099,27,171,3067,135,2067,2127,85,1625,1309,178,15,3,184,60",1,24.318,59.892,49.61
"1482,1356,194,538,139,36,2140,201,775,1209,2321,1177,1131,1412,2744,1440,390,389,1305,523,772,1020,732,773,1203,1157,2260,533,2671,827,1335,1322,920,2741,1089,735,837,1307,2476,745,930,1605,1371,2910,2062,1698,1228,1083,1037,640",1,83.887,83.887,8.611
"1483,645,147,164,1337,3613,768,1712,1704,844,2250,2423,3279,2293,858,760,1011,1440,841,158,1475,971,1214,167,138,376,910,127,513,320,851,297,777,2649,1989,1203,904,1391,2175,87,754,1838,1860,642,2783,1272,2099,223,880,1666",1,9.123,43.509,53.253
"1497,724,1455,1299,222,566,1002,142,1783,586,866,46,176,1211,1311,1493,23,538,16,184,14,77,1186,1309,1424,535,380,146,604,370,1645,392,1802,1305,646,1320,425,636,2300,169,1500,815,1244,1265,829,640,90,1432,344,373",1,4.723,96.518,36.935
"1512,1284,1159,175,498,339,2303,961,634,4,520,2499,517,2019,1242,69,663,97,125,377,210,23,990,744,98,133,365,995,759,218,1002,27,433,190,215,1271,63,65,323,644,3338,798,1422,715,435,490,1467,1432,861,1397",1,14.413,98.273,28.962
"1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1159,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,1047",1,27.314,68.34,37.386
"152,200,93,98,75,729,65,147,49,111,58,273,215,140,151,216,209,210,218,1114,1023,434,644,712,721,1252,63,1155,756,588,387,703,156,196,1042,80,278,741,193,386,59,980,161,587,118,121,1001,768,529,971",1,2.294,84.265,47.553
"1523,2943,1452,1848,471,1762,154,410,2052,2985,1493,1259,3,2248,701,2453,406,1576,1419,113,1607,1614,2604,231,522,2533,640,419,172,1385,2789,976,2914,1593,2841,1346,1408,1687,585,420,472,2491,3671,1476,1069,1478,1070,2250,892,1286",1,18.489,92.065,28.891
"1536,214,274,1150,595,652,1115,716,3,610,427,1212,252,83,421,429,370,685,942,397,401,465,417,138,1334,1340,1346,1242,539,612,156,1019,784,1716,969,152,884,634,1071,449,395,398,195,917,310,1052,651,567,569,1091",1,4.507,94.143,33.839
"155,556,1940,74,1716,1089,2655,1844,1251,1104,2320,2176,1073,1343,1103,2294,1064,1079,1727,930,879,1656,2174,2641,1351,1030,2295,2200,1095,1049,245,260,2781,256,983,58,243,60,337,922,1688,912,1108,2963,2449,1968,1225,889,732,920",1,13.657,68.718,42.321
"1559,906,1918,894,1673,2016,1235,243,1535,94,434,874,1214,877,2073,918,800,2335,3296,329,196,3026,118,2719,926,2100,306,1547,1369,2120,904,1688,890,888,1470,922,2746,887,1553,1388,2059,892,3044,895,899,70,1472,2102,1869,1173",1,8.016,8.016,66.858
"1595,512,490,2136,761,881,1329,1334,871,845,1958,811,1430,652,732,1154,920,1079,1089,1199,1185,1022,198,576,850,1724,1342,1436,1608,1727,1181,2098,1104,1067,878,1030,1828,1859,879,182,570,1092,1095,3042,615,199,865,696,557,1857",1,15.223,15.223,68.406
"1602,1092,1423,1601,2885,339,1452,1238,1451,219,560,1241,961,247,1040,122,956,1254,630,1562,1922,1629,1284,3184,1583,795,849,1584,2016,1535,1739,926,1825,1833,846,395,1564,1508,216,209,195,611,1579,200,879,394,1004,2683,398,2123",1,47.773,47.773,34.892
"1629,48,237,598,2096,71,110,3039,382,566,418,500,220,317,316,92,39,291,185,1449,51,771,1631,1652,89,767,23,77,8,697,117,601,632,634,1062,274,142,76,135,1299,799,1257,1309,14,586,548,16,638,804,1795",1,7.746,34.899,72.719
"1635,1663,1319,1419,1264,410,1307,2117,1569,1020,2969,455,1527,135,318,264,1653,711,3382,285,532,500,475,344,1408,1640,1233,530,211,98,86,1273,2858,152,323,229,494,466,118,985,1708,126,1420,305,825,1350,1844,67,2140,1193",1,15.412,93.981,29.616
"1642,45,125,128,49,98,756,1229,218,211,265,65,386,157,1252,114,712,433,531,896,223,976,158,714,1272,131,1440,147,6,632,178,176,1664,85,634,204,1302,14,1517,1299,830,1802,526,730,1002,75,731,2680,435,670",1,20.594,85.803,38.939
"1665,861,2502,684,1281,686,701,3021,284,415,815,28,849,1369,926,11,697,2142,36,427,681,420,2273,375,1536,1364,274,1818,1112,595,1142,870,791,264,269,1329,1143,1946,132,1815,1680,2845,1406,498,331,169,439,1980,440,750",1,9.798,9.798,79.133
"1667,165,20,1516,1271,615,626,793,177,90,21,677,425,730,424,397,1237,732,274,172,1314,1182,1346,640,696,1327,1686,580,628,27,559,721,809,740,1254,630,1284,1584,2016,1535,259,1583,322,1640,2265,1466,2084,1451,1592,429",1,14.764,61.43,53.725
"168,1964,1489,2920,2518,1,175,237,24,110,2051,454,88,487,97,1540,501,1107,2217,2728,150,1585,307,2131,116,104,1652,571,506,153,245,2526,8,105,56,767,618,51,1622,135,1521,771,1518,601,200,41,541,14,130,20",1,10.607,43.563,68.445
"168,24,10,53,42,382,60,766,40,124,169,88,705,793,514,1043,293,1650,1968,2744,660,1443,1439,512,90,1399,1748,696,41,1299,207,14,5,274,184,34,208,643,1309,370,397,640,677,180,901,730,738,557,578,1346",1,6.127,92.874,35.315
"168,3216,24,682,89,2042,1468,547,634,135,996,112,1545,1648,1,1964,1513,995,1467,2148,2111,1848,586,276,296,154,1473,1271,78,338,214,122,649,685,590,946,125,762,1269,2050,697,6,2149,9,624,1507,951,1349,140,2122",1,62.375,86.019,21.241
"168,48,106,93,1050,694,506,27,8,526,112,97,521,382,571,2426,421,548,6,265,175,117,429,438,3,815,415,28,568,425,383,25,20,1043,14,1211,184,2146,169,1784,566,34,1182,734,1501,730,742,177,820,373",1,10.337,71.714,56.088
"1696,809,1116,214,415,723,604,15,1046,1254,579,1348,364,586,83,97,995,175,284,999,78,678,1467,237,616,2293,57,161,1089,84,739,179,1962,472,615,2092,318,886,905,340,1192,1285,500,532,534,838,1644,1651,950,174",1,53.495,92.254,17.509
"171,601,632,634,604,204,1002,757,588,710,703,125,128,219,187,113,278,768,206,858,1102,676,1082,1418,405,1745,800,1472,215,2102,1273,1390,1150,715,218,1559,991,429,1663,211,2706,1468,2012,1457,795,1024,144,1587,1110,1546",1,10.418,75.304,44.649
