i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
44,targeted,None,"572,199,104,615,498,22,696,67,390,78,255,192,319,230,241,321,217,227,500,330,101,400,294,222,670,32,265,114,201,322,473,90,82,620,531,954,312,50,186,210,298,519,167,503,391,290,243,310,190,365","572,199,104,615,498,22,696,67,390,78,255,192,319,230,241,321,217,227,500,330,101,400,294,222,670,32,265,114,201,322,473,90,82,620,531,954,312,50,186,210,298,519,167,503,391,290,243,310,310,365",None,1,None,None,213.887,0.0,83.875,None,4.769,"{0, 7}","{13, 7}",{0},1.0,0.0,"{0, 7},{5, 7},{13, 7},{2, 3},{7}","{13, 7},{15, 5, 7},{5, 7},{7},{13, 15, 5, 7}","{0},{0},{0},{0},{0}",0.363,0.0,"{0, 7},{5, 7},{13, 7},{2, 3},{7},{13, 15, 5, 7},{3, 13},{16, 7},{7},{13, 7}","{13, 7},{15, 5, 7},{5, 7},{7},{13, 15, 5, 7},{7},{13, 7},{13, 7},{3, 7},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.219,0.0,"{0, 7},{5, 7},{13, 7},{2, 3},{7},{13, 15, 5, 7},{3, 13},{16, 7},{7},{13, 7},{7},{10, 15},{3, 13},{7},{7},{15, 5, 7},{13, 7},{3, 7},{13, 7},{7}","{13, 7},{15, 5, 7},{5, 7},{7},{13, 15, 5, 7},{7},{13, 7},{13, 7},{3, 7},{3, 13},{7},{13, 7},{13, 7},{14, 7},{7},{2, 3},{7},{7},{12, 7},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.15,0.0,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
45,targeted,None,"399,754,474,310,662,569,1065,932,832,1138,866,1088,1223,330,1588,426,797,1233,222,460,718,482,1015,210,182,880,1179,1255,315,824,671,6,1458,552,1053,1392,1007,847,153,373,1021,451,64,337,1317,935,519,401,364,475","399,754,474,310,662,569,1065,932,832,1138,866,1088,1223,330,1588,426,797,1233,222,460,718,482,1015,210,182,880,1179,1255,315,824,671,6,1458,552,1053,1392,1007,847,153,373,1021,451,64,337,1317,935,519,415,364,475",None,1,None,None,217.693,0.0,76.904,None,4.181,"{0, 1, 3, 5}",{3},{0},1.0,0.0,"{0, 1, 3, 5},{3, 7},{0, 16, 3},{3},{3}","{3},{3, 7},{3},{0},{3}","{0},{0},{0},{0},{0}",0.726,0.12,"{0, 1, 3, 5},{3, 7},{0, 16, 3},{3},{3},{3},{0, 1, 5, 7},{0, 1, 5},{10, 3},{7}","{3},{3, 7},{3},{0},{3},{3},{0, 1, 5, 7},{6},{7},{0, 1, 3, 5}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.7,0.415,"{0, 1, 3, 5},{3, 7},{0, 16, 3},{3},{3},{3},{0, 1, 5, 7},{0, 1, 5},{10, 3},{7},{0},{3},{3},{3},{11, 3, 13},{3},{3},{0, 1, 15},{3, 14},{3}","{3},{3, 7},{3},{0},{3},{3},{0, 1, 5, 7},{6},{7},{0, 1, 3, 5},{13, 7},{0, 1, 15},{3},{0, 1, 14, 15},{3, 14},{3},{0, 14},{3, 13},{3},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.592,0.442,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
46,targeted,None,"171,781,292,457,916,210,590,404,279,901,1035,532,1037,551,259,924,1057,473,84,669,8,96,232,760,53,304,37,170,331,737,136,7,562,499,587,585,593,513,257,424,802,340,474,134,492,368,89,364,316,167","171,781,292,457,916,210,590,404,279,901,1035,532,1037,551,259,924,1057,473,84,669,8,86,232,760,53,304,37,170,331,737,136,7,562,499,587,585,593,513,257,424,802,340,474,134,492,368,89,364,316,167",None,1,None,None,213.764,0.0,72.748,None,2.3,"{0, 17, 3}","{0, 17, 3}",{0},1.0,1.0,"{0, 17, 3},{3},{3},{3, 7},{3, 13}","{0, 17, 3},{3},{3, 7},{3},{3, 13}","{0},{0},{0},{0},{0}",0.52,0.514,"{0, 17, 3},{3},{3},{3, 7},{3, 13},{16, 3},{3},{3, 5},{3},{3, 7}","{0, 17, 3},{3},{3, 7},{3},{3, 13},{16, 3},{3, 5},{3},{3},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.36,0.369,"{0, 17, 3},{3},{3},{3, 7},{3, 13},{16, 3},{3},{3, 5},{3},{3, 7},{3},{16, 7},{3, 14},{0, 1},{3, 13},{0, 1},{3},{14},{3, 14},{0, 1, 14}","{0, 17, 3},{3},{3, 7},{3},{3, 13},{16, 3},{3, 5},{3},{3},{3},{3, 7},{16, 7},{3, 14},{3, 13},{0, 1},{0, 1},{3},{14},{3, 14},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.366,0.321,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
47,targeted,None,"682,121,1121,840,140,631,610,960,892,31,1197,531,632,1068,407,772,1030,677,482,738,873,676,511,524,1133,333,1012,127,1137,515,769,468,1211,1430,925,80,417,560,686,544,496,1071,1005,987,973,166,1257,758,555,185","682,121,1121,840,140,631,610,960,892,31,1197,531,632,1068,407,772,1030,677,482,738,873,676,511,524,1133,333,1012,127,1137,515,769,468,1211,1430,925,80,417,560,686,544,496,1071,1005,987,973,166,1557,758,555,185",None,1,None,None,213.315,0.0,83.429,None,3.589,"{0, 15}","{3, 7}",{0},1.0,0.0,"{0, 15},{1, 14, 15},{3, 7},{3, 7},{7}","{3, 7},{5, 7},{1, 14, 15},{10, 12, 5, 15},{0, 13, 15}","{0},{0},{0},{0},{0}",0.326,0.152,"{0, 15},{1, 14, 15},{3, 7},{3, 7},{7},{11, 3},{7},{3, 12},{0, 10, 14},{0, 14, 15}","{3, 7},{5, 7},{1, 14, 15},{10, 12, 5, 15},{0, 13, 15},{0, 15},{3, 7},{3, 13},{7},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.393,0.183,"{0, 15},{1, 14, 15},{3, 7},{3, 7},{7},{11, 3},{7},{3, 12},{0, 10, 14},{0, 14, 15},{15, 5, 7},{0, 12, 5},{15, 7},{0, 3},{0, 1, 14},{3, 13},{10, 12, 5, 15},{3, 12, 5, 15},{0, 12, 15},{3}","{3, 7},{5, 7},{1, 14, 15},{10, 12, 5, 15},{0, 13, 15},{0, 15},{3, 7},{3, 13},{7},{3},{10, 15},{0, 10, 14},{0, 14, 15},{0, 13, 7},{3, 12},{7},{7},{13, 7},{15, 7},{0, 10, 14}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.4,0.312,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
48,targeted,None,"265,92,67,218,733,113,572,298,623,439,101,114,357,896,232,4,162,201,698,432,301,241,735,102,204,741,212,322,310,251,103,334,226,463,94,736,37,457,186,48,58,227,857,338,530,620,458,1172,1057,759","265,92,67,218,733,113,572,298,623,439,101,114,357,896,232,4,162,201,698,432,301,241,735,1028,204,741,212,322,310,251,103,334,226,463,94,736,37,457,186,48,58,227,857,338,530,620,458,1172,1057,759",None,1,None,None,213.463,0.0,84.674,None,2.264,"{0, 13, 15}","{0, 14, 15}",{0},1.0,1.0,"{0, 13, 15},{0, 14, 15},{16, 15, 7},{3},{5, 14, 7}","{0, 14, 15},{0, 13, 15},{16, 15, 7},{3},{5, 14, 7}","{0},{0},{0},{0},{0}",0.613,0.613,"{0, 13, 15},{0, 14, 15},{16, 15, 7},{3},{5, 14, 7},{3, 13},{0, 13},{3, 7},{3, 13},{0, 14, 15}","{0, 14, 15},{0, 13, 15},{16, 15, 7},{3},{5, 14, 7},{0, 13},{3, 13},{3, 13},{3, 7},{3, 14}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.561,0.502,"{0, 13, 15},{0, 14, 15},{16, 15, 7},{3},{5, 14, 7},{3, 13},{0, 13},{3, 7},{3, 13},{0, 14, 15},{3, 14},{2, 3},{0, 5, 14},{7},{0, 15},{16, 11, 7},{0, 1, 14},{10},{3, 13},{0, 13, 15}","{0, 14, 15},{0, 13, 15},{16, 15, 7},{3},{5, 14, 7},{0, 13},{3, 13},{3, 13},{3, 7},{3, 14},{0, 14, 15},{0, 5, 14},{2, 3},{9, 14},{0, 15},{10},{3, 13},{0, 13, 15},{0, 1, 14},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.538,0.548,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
49,targeted,None,"800,1259,1186,1022,183,7,544,830,297,979,232,15,376,1102,265,294,655,717,1215,386,955,1296,510,27,123,878,136,213,28,425,1304,888,1119,8,599,1110,1349,51,397,474,406,1277,541,607,466,739,1500,155,833,73","800,1259,1186,1022,183,7,544,830,297,979,232,15,376,1102,265,294,655,717,1215,386,955,1296,510,27,123,878,136,213,28,425,1304,888,1119,8,599,1110,1349,51,397,474,406,1277,541,607,466,739,1500,155,833,392",None,1,None,None,214.01,0.0,75.513,None,4.333,"{0, 1}",{3},{0},1.0,0.0,"{0, 1},{10},{3},{3},{3}","{3},{10},{3, 12, 5, 15},{3},{7}","{0},{0},{0},{0},{0}",0.507,0.0,"{0, 1},{10},{3},{3},{3},{3},{7},{7},{8, 3},{0, 14}","{3},{10},{3, 12, 5, 15},{3},{7},{3, 13},{0, 1},{10, 14},{3},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.42,0.091,"{0, 1},{10},{3},{3},{3},{3},{7},{7},{8, 3},{0, 14},{3},{7},{0, 16, 14, 15},{3},{3, 12, 5, 15},{3, 13},{3, 7},{3},{0, 15},{3}","{3},{10},{3, 12, 5, 15},{3},{7},{3, 13},{0, 1},{10, 14},{3},{5, 7},{0, 10, 14},{3},{15, 7},{11, 3, 13},{5, 7},{3},{3},{0, 16, 14, 15},{10, 12, 5, 15},{3, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.376,0.187,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
50,targeted,None,"1144,136,409,140,41,244,2,609,281,1104,520,269,420,45,620,617,227,192,27,133,248,324,424,290,720,961,951,116,131,270,105,214,253,752,891,49,512,185,326,852,882,347,73,1003,682,716,336,1481,1453,341","1144,136,409,140,41,244,2,609,281,1104,520,269,420,49,620,617,227,192,27,133,248,324,424,290,720,961,951,116,131,270,105,214,253,752,891,49,512,185,326,852,882,347,73,1003,682,716,336,1481,1453,341",None,1,None,None,213.36,0.0,80.475,None,2.479,"{0, 13, 7}","{0, 13, 7}",{0},1.0,1.0,"{0, 13, 7},{3, 13},{5, 7},{3, 13},{0, 13, 15}","{0, 13, 7},{3, 13},{5, 7},{3, 13},{0, 13, 15}","{0},{0},{0},{0},{0}",0.571,0.571,"{0, 13, 7},{3, 13},{5, 7},{3, 13},{0, 13, 15},{3, 5},{13, 7},{7},{15, 13, 7},{3}","{0, 13, 7},{3, 13},{5, 7},{3, 13},{0, 13, 15},{3, 5},{7},{13, 7},{3},{15, 13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.409,0.411,"{0, 13, 7},{3, 13},{5, 7},{3, 13},{0, 13, 15},{3, 5},{13, 7},{7},{15, 13, 7},{3},{1, 14, 15},{12, 15},{9, 12, 5, 15},{0, 15},{3},{13, 7},{7},{1, 3},{7},{7}","{0, 13, 7},{3, 13},{5, 7},{3, 13},{0, 13, 15},{3, 5},{7},{13, 7},{3},{15, 13, 7},{12, 15},{1, 14, 15},{9, 12, 5, 15},{3},{0, 15},{13, 7},{7},{7},{1, 3},{3, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.311,0.307,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
51,targeted,None,"173,1321,560,1005,972,629,382,987,624,140,492,281,2,117,99,815,1024,332,158,96,340,498,194,417,521,242,208,507,1413,979,218,422,519,1040,775,556,210,103,453,333,169,614,928,353,55,367,480,686,389,1017","173,1321,560,1005,972,629,382,987,624,140,492,281,2,117,99,815,1024,332,158,96,340,498,194,417,521,242,208,507,1413,979,218,422,519,1040,775,556,210,103,453,333,169,614,928,353,55,367,480,686,389,1127",None,1,None,None,214.943,0.0,83.35,None,3.406,{0},{3},{0},1.0,0.0,"{0},{0, 15},{0, 1, 13},{7},{0}","{3},{3},{5, 15},{3},{3}","{0},{0},{0},{0},{0}",0.906,0.0,"{0},{0, 15},{0, 1, 13},{7},{0},{0},{3, 13},{0},{12, 15},{0, 1, 15}","{3},{3},{5, 15},{3},{3},{7},{14},{0, 16, 3},{0, 12, 7},{0, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.77,0.37,"{0},{0, 15},{0, 1, 13},{7},{0},{0},{3, 13},{0},{12, 15},{0, 1, 15},{0},{0, 14},{3, 15},{3},{3},{0, 1, 17},{10},{10, 3},{0, 3},{0}","{3},{3},{5, 15},{3},{3},{7},{14},{0, 16, 3},{0, 12, 7},{0, 15},{3, 13, 7},{3, 13, 15},{0, 5, 7},{0, 15},{3},{0, 1, 3, 5},{0, 15},{0, 15},{3, 14},{0, 3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.697,0.485,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
52,targeted,None,"557,277,18,348,558,671,324,529,56,1055,381,405,428,11,105,335,2,140,131,116,12,956,492,392,667,1117,1258,96,99,900,340,669,823,372,611,448,643,146,473,22,106,678,572,115,539,204,619,7,865,720","557,277,18,348,558,671,324,529,56,1055,381,405,428,11,105,335,2,140,131,116,12,956,492,392,667,1117,1258,96,99,900,340,669,823,372,611,448,263,146,473,22,106,678,572,115,539,204,619,7,865,720",None,1,None,None,213.875,0.0,75.183,None,2.42,"{0, 13, 15}",{7},{0},1.0,0.0,"{0, 13, 15},{7},{0, 13, 7},{12, 15},{3, 7}","{7},{0, 13, 15},{3, 12, 5, 7},{3, 7},{3, 7}","{0},{0},{0},{0},{0}",0.665,0.29,"{0, 13, 15},{7},{0, 13, 7},{12, 15},{3, 7},{3, 12, 5, 7},{3},{13, 7},{7},{7}","{7},{0, 13, 15},{3, 12, 5, 7},{3, 7},{3, 7},{0, 13, 7},{3},{7},{12, 15},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.462,0.314,"{0, 13, 15},{7},{0, 13, 7},{12, 15},{3, 7},{3, 12, 5, 7},{3},{13, 7},{7},{7},{3, 7},{0, 1, 14, 16},{0, 12, 13, 15},{0, 7},{7},{15, 7},{0, 15},{10, 15},{10, 15},{1, 3}","{7},{0, 13, 15},{3, 12, 5, 7},{3, 7},{3, 7},{0, 13, 7},{3},{7},{12, 15},{13, 7},{7},{7},{0, 1, 14, 16},{0, 7},{0, 12, 13, 15},{15, 7},{0, 15},{10, 15},{1, 3},{10, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.49,0.403,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
53,targeted,None,"158,653,61,44,96,99,188,145,118,176,53,25,121,141,531,84,567,358,205,125,328,435,11,78,88,644,553,863,532,365,260,69,1105,132,50,810,268,154,414,104,428,210,407,24,648","158,653,61,44,96,99,188,145,118,176,53,25,121,141,531,84,567,358,205,125,328,435,11,78,88,644,553,863,532,365,260,69,1105,132,50,810,268,154,414,104,428,210,407,44,648",None,1,None,None,213.381,0.0,83.032,None,4.322,"{0, 15}","{13, 7}",{0},1.0,0.0,"{0, 15},{15, 5, 7},{0, 1, 13, 14, 16},{15, 7},{0, 13, 7}","{13, 7},{7},{3, 13},{13, 7},{16, 7}","{0},{0},{0},{0},{0}",0.673,0.0,"{0, 15},{15, 5, 7},{0, 1, 13, 14, 16},{15, 7},{0, 13, 7},{14, 7},{0, 5, 7},{7},{0, 15},{7}","{13, 7},{7},{3, 13},{13, 7},{16, 7},{7},{3},{13, 7},{1, 3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.641,0.0,"{0, 15},{15, 5, 7},{0, 1, 13, 14, 16},{15, 7},{0, 13, 7},{14, 7},{0, 5, 7},{7},{0, 15},{7},{3, 7},{3},{13, 7},{5, 7},{0, 1, 15},{10, 15},{0, 1, 14},{2, 3},{7},{0, 1, 13, 14, 16}","{13, 7},{7},{3, 13},{13, 7},{16, 7},{7},{3},{13, 7},{1, 3},{3, 13},{0, 15},{0, 1, 3, 14},{13, 7},{3},{13, 7},{0, 15},{3, 7},{15, 7},{0, 16, 14},{0, 1, 12}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.581,0.26,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
54,targeted,None,"641,734,201,78,92,103,113,896,157,404,445,351,232,115,312,257,438,146,137,935,453,310,268,52,578,141,217,358,696,1078,281,911,321,57,943,364,522,671,749,76,560,711,759,477,173,63,162,630,472,58","641,734,201,78,92,103,113,896,157,404,445,351,232,115,312,257,438,146,137,935,453,310,268,52,578,141,217,358,696,1078,281,911,321,57,943,364,522,671,749,76,560,711,759,477,173,63,162,630,472,578",None,1,None,None,215.316,0.0,81.268,None,3.366,"{0, 13}","{3, 13}",{0},1.0,0.0,"{0, 13},{16, 15, 7},{7},{15, 7},{1, 17, 7}","{3, 13},{16, 15, 7},{3, 13, 7},{11, 2, 3},{15, 7}","{0},{0},{0},{0},{0}",0.312,0.0,"{0, 13},{16, 15, 7},{7},{15, 7},{1, 17, 7},{7},{7},{12, 7},{16, 7},{11, 2, 3}","{3, 13},{16, 15, 7},{3, 13, 7},{11, 2, 3},{15, 7},{3, 14},{11, 2, 3},{11},{1, 17, 7},{0, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.217,0.053,"{0, 13},{16, 15, 7},{7},{15, 7},{1, 17, 7},{7},{7},{12, 7},{16, 7},{11, 2, 3},{8, 3, 14, 7},{15, 7},{13, 7},{11, 2, 3},{7},{7},{7},{11, 3},{17},{7}","{3, 13},{16, 15, 7},{3, 13, 7},{11, 2, 3},{15, 7},{3, 14},{11, 2, 3},{11},{1, 17, 7},{0, 13},{11, 2, 3},{8, 3, 14, 7},{11, 2, 3},{7},{0, 15},{7},{11, 1, 3, 7},{16, 7},{12, 7},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.145,0.064,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
55,targeted,None,"653,52,340,669,996,69,78,141,1035,90,345,410,526,50,503,25,210,531,87,24,174,453,594,190,79,180","653,52,340,669,996,69,78,141,1035,90,345,410,526,50,503,25,210,503,87,24,174,453,594,190,79,180",None,1,None,None,191.256,0.0,88.904,None,2.26,"{0, 1}","{0, 1}",{0},1.0,1.0,"{0, 1},{15, 7},{0, 1},{16, 13, 7},{0, 14, 15}","{0, 1},{15, 7},{0, 1},{0, 14, 15},{16, 13, 7}","{0},{0},{0},{0},{0}",0.62,0.639,"{0, 1},{15, 7},{0, 1},{16, 13, 7},{0, 14, 15},{7},{0, 1, 3, 13},{3, 14},{16, 3, 13},{16, 7}","{0, 1},{15, 7},{0, 1},{0, 14, 15},{16, 13, 7},{7},{3, 14},{0, 1, 3, 13},{0, 1, 7, 13, 14, 16},{16, 3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.522,0.631,"{0, 1},{15, 7},{0, 1},{16, 13, 7},{0, 14, 15},{7},{0, 1, 3, 13},{3, 14},{16, 3, 13},{16, 7},{0, 1, 7, 13, 14, 16},{8, 3, 14, 7},{0, 1, 14},{11, 1, 3, 7},{0, 16, 7},{0, 14, 15},{7},{3},{0, 16, 14, 15},{0, 15}","{0, 1},{15, 7},{0, 1},{0, 14, 15},{16, 13, 7},{7},{3, 14},{0, 1, 3, 13},{0, 1, 7, 13, 14, 16},{16, 3, 13},{0, 14, 15},{0, 1, 14},{8, 3, 14, 7},{16, 7},{0, 16, 7},{11, 1, 3, 7},{0, 15},{3},{7},{0, 16, 14, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.587,0.604,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
56,targeted,None,"25,503,84,696,78,365,11,13,125,182,358,26,205,526,174,351,141,383,88,414,404,1007,303,217,32,795,500,97,45,472,823,230,368,114,212,397,463,501,48,664,240,352,185,5,752,140,720,595,882,50","25,503,84,696,78,365,11,13,125,182,358,26,205,526,174,351,141,383,88,414,404,1007,303,217,32,795,500,97,45,472,823,230,368,114,212,397,463,501,48,664,240,352,185,5,752,141,720,595,882,50",None,1,None,None,217.511,0.0,94.092,None,2.232,"{0, 13, 7}","{0, 13, 7}",{0},1.0,1.0,"{0, 13, 7},{0, 12, 13, 15},{5, 7},{0, 13, 15},{12, 15}","{0, 13, 7},{5, 7},{0, 12, 13, 15},{12, 15},{7}","{0},{0},{0},{0},{0}",0.794,0.666,"{0, 13, 7},{0, 12, 13, 15},{5, 7},{0, 13, 15},{12, 15},{7},{14, 7},{15, 5, 7},{10, 15},{9, 5, 7}","{0, 13, 7},{5, 7},{0, 12, 13, 15},{12, 15},{7},{0, 13, 15},{0, 10, 14},{14, 7},{15, 5, 7},{10, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.567,0.605,"{0, 13, 7},{0, 12, 13, 15},{5, 7},{0, 13, 15},{12, 15},{7},{14, 7},{15, 5, 7},{10, 15},{9, 5, 7},{9, 12, 5, 15},{10, 12, 5, 15},{7},{0, 10, 14},{13, 7},{7},{15},{0, 14, 15},{14, 7},{0, 15}","{0, 13, 7},{5, 7},{0, 12, 13, 15},{12, 15},{7},{0, 13, 15},{0, 10, 14},{14, 7},{15, 5, 7},{10, 15},{7},{9, 5, 7},{9, 12, 5, 15},{13, 7},{10, 12, 5, 15},{16, 13, 7},{14, 7},{7},{7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.49,0.404,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
57,targeted,None,"653,1,361,290,275,145,816,176,861,96,99,188,117,900,154,25,1107,358,90,531,1115,601,182,190,53,447,615,428,306,365,69,1347,614,104,84,88,389,444,1085,24","653,1,361,290,275,145,816,176,861,96,99,188,117,900,154,25,1107,358,90,531,1115,601,182,190,153,447,615,428,306,365,69,1347,614,104,84,88,389,444,1085,24",None,1,None,None,208.283,0.0,87.219,None,2.354,"{0, 16, 14}","{0, 16, 14}",{0},1.0,1.0,"{0, 16, 14},{0, 1, 15},{3, 13},{0, 1, 12},{0, 1, 15}","{0, 16, 14},{0, 1, 15},{3, 13},{0, 1, 12},{0, 1, 15}","{0},{0},{0},{0},{0}",0.88,0.88,"{0, 16, 14},{0, 1, 15},{3, 13},{0, 1, 12},{0, 1, 15},{0, 1, 14, 15},{0, 1, 3, 14},{1, 3},{0, 1, 14},{13, 7}","{0, 16, 14},{0, 1, 15},{3, 13},{0, 1, 12},{0, 1, 15},{0, 1, 14, 15},{0, 1, 3, 14},{1, 3},{0, 1, 14},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.833,0.833,"{0, 16, 14},{0, 1, 15},{3, 13},{0, 1, 12},{0, 1, 15},{0, 1, 14, 15},{0, 1, 3, 14},{1, 3},{0, 1, 14},{13, 7},{0, 15},{3},{7},{3},{0, 15},{0, 14},{0, 16, 3, 14},{0, 15},{15, 7},{0}","{0, 16, 14},{0, 1, 15},{3, 13},{0, 1, 12},{0, 1, 15},{0, 1, 14, 15},{0, 1, 3, 14},{1, 3},{0, 1, 14},{13, 7},{7},{3},{0, 15},{3},{0, 15},{15, 7},{0, 14},{0, 16, 3, 14},{0, 15},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.804,0.779,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
