i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
221,targeted,None,"96,1252,99,409,710,109,82,111,342,499,106,274,1027,221,85,726,658,327,346,483,865,476,114,703,219,284,481,39,906,603,133,71,148,375,878,788,804,425,1006,28,363,686,1266,1050,1096,1129,1063,1005,880,314","96,1252,99,409,710,109,82,111,342,499,106,274,1027,221,85,726,658,327,346,483,865,476,114,703,219,284,481,39,906,603,133,71,148,375,878,788,804,425,1006,28,363,686,1266,1096,1096,1129,1063,1005,880,314",None,1,None,None,29.11,0.0,11.975,None,5.225,"{0, 10, 14, 15}","{0, 10, 14, 15}",{0},1.0,1.0,"{0, 10, 14, 15},{3},{0, 1, 12, 14},{10, 3},{0, 10}","{0, 10, 14, 15},{3},{10, 3},{11, 2, 3, 13},{0, 1, 12, 14}","{0},{0},{0},{0},{0}",0.819,0.623,"{0, 10, 14, 15},{3},{0, 1, 12, 14},{10, 3},{0, 10},{11, 2, 3, 13},{0},{11, 1, 2, 3},{10, 14, 15},{17, 3}","{0, 10, 14, 15},{3},{10, 3},{11, 2, 3, 13},{0, 1, 12, 14},{10, 14, 15},{0, 10},{11, 1, 2, 3},{0},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.557,0.522,"{0, 10, 14, 15},{3},{0, 1, 12, 14},{10, 3},{0, 10},{11, 2, 3, 13},{0},{11, 1, 2, 3},{10, 14, 15},{17, 3},{3},{6},{15},{0, 14, 15},{0, 1, 14},{0, 3},{14, 15},{3},{10, 15},{10, 14}","{0, 10, 14, 15},{3},{10, 3},{11, 2, 3, 13},{0, 1, 12, 14},{10, 14, 15},{0, 10},{11, 1, 2, 3},{0},{3},{17, 3},{0, 3},{0, 14, 15},{0, 1, 14},{3},{6},{15},{14, 15},{10, 14},{1, 3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.529,0.499,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
222,targeted,None,"218,539,77,109,557,292,475,222,529,175,1077,1116,300,294,57,51,30,111,119,35,362,274,419,102,255,205,670,932,248,322,190,232,457,157,23,358,483,369,147,376,24,115,477,802,48,76,212,155,233,34","218,539,77,109,557,292,475,222,529,175,1077,1116,300,294,57,51,30,111,119,35,362,274,419,102,255,205,670,932,248,322,190,232,457,157,23,358,483,369,147,376,24,115,477,802,48,91,212,155,233,34",None,1,None,None,30.047,0.0,17.444,None,5.631,"{0, 15}","{13, 7}",{0},1.0,0.0,"{0, 15},{5, 14, 7},{0, 11, 3},{3, 13},{0, 13}","{13, 7},{0, 15},{15},{0, 1, 15},{9, 15}","{0},{0},{0},{0},{0}",0.608,0.438,"{0, 15},{5, 14, 7},{0, 11, 3},{3, 13},{0, 13},{3, 13},{0, 1, 14},{0, 1, 14},{7},{11, 2, 3}","{13, 7},{0, 15},{15},{0, 1, 15},{9, 15},{3, 13},{15, 7},{3, 13, 15},{12, 15, 7},{10}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.573,0.273,"{0, 15},{5, 14, 7},{0, 11, 3},{3, 13},{0, 13},{3, 13},{0, 1, 14},{0, 1, 14},{7},{11, 2, 3},{3, 13},{11, 3},{0, 1},{11},{0, 1, 15},{0, 1, 14},{15},{3},{0, 1, 14, 15},{3}","{13, 7},{0, 15},{15},{0, 1, 15},{9, 15},{3, 13},{15, 7},{3, 13, 15},{12, 15, 7},{10},{3, 13},{16, 17, 13, 7},{10},{0, 1, 14},{0, 1, 14},{11, 3, 13},{0, 16, 13},{0, 1, 14},{3, 13},{10}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.578,0.352,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
223,targeted,None,"499,671,294,706,284,69,503,723,210,174,25,96,78,662,84,178,87,121,404,553,50,644,201,558,171,358,245,548,173,21,186,217,322,368,180,343,529,35,167,348,821,34,634,292,109,557,623,334,32,362","499,671,294,706,284,69,503,723,210,174,25,96,78,662,84,178,87,121,404,553,50,644,201,558,171,358,245,548,173,21,186,217,322,368,180,343,529,35,167,348,821,34,32,292,109,557,623,334,32,362",None,1,None,None,33.984,0.0,37.195,None,5.694,"{0, 10}","{15, 7}",{0},1.0,0.0,"{0, 10},{15, 7},{10, 13, 15},{0, 1, 14, 15},{10}","{15, 7},{0, 10},{10, 13, 15},{0, 15},{5, 15}","{0},{0},{0},{0},{0}",0.542,0.332,"{0, 10},{15, 7},{10, 13, 15},{0, 1, 14, 15},{10},{5, 15},{10},{15},{0, 15},{0, 1, 14}","{15, 7},{0, 10},{10, 13, 15},{0, 15},{5, 15},{9, 12, 15},{0, 1, 14, 15},{10},{0, 10, 14, 15},{12, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.535,0.428,"{0, 10},{15, 7},{10, 13, 15},{0, 1, 14, 15},{10},{5, 15},{10},{15},{0, 15},{0, 1, 14},{9, 12, 15},{10},{0, 10, 14, 15},{17},{0, 16, 14, 15},{9, 15},{5, 15},{12, 15},{7},{5, 7}","{15, 7},{0, 10},{10, 13, 15},{0, 15},{5, 15},{9, 12, 15},{0, 1, 14, 15},{10},{0, 10, 14, 15},{12, 15},{10},{0, 1, 14},{9, 15},{15},{0, 16, 14, 15},{17},{5, 15},{0, 15},{0, 15},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.475,0.473,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
224,targeted,None,"351,446,1107,657,705,179,862,517,268,1539,407,365,414,648,18,847,433,104,1068,84,137,772,121,152,1105,306,125,417,383,303,141,453,205,841,687,578,69,553,24,12,337,515,566,299,526,404,1086,247,456,775","351,446,1107,657,705,179,862,517,268,1539,407,365,414,648,18,847,433,104,1068,84,137,772,121,152,1105,306,125,417,383,303,141,453,205,841,687,578,69,553,24,12,337,515,566,299,505,404,1086,247,456,775",None,1,None,None,30.56,0.0,13.464,None,5.638,{0},{3},{0},1.0,0.0,"{0},{3},{3},{8, 3, 13, 14},{3}","{3},{3},{8, 3, 13, 14},{14, 15},{0}","{0},{0},{0},{0},{0}",0.236,0.079,"{0},{3},{3},{8, 3, 13, 14},{3},{0, 15},{8, 1, 2, 3},{3},{3},{0, 1, 15}","{3},{3},{8, 3, 13, 14},{14, 15},{0},{0, 15},{15, 7},{3},{3},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.332,0.153,"{0},{3},{3},{8, 3, 13, 14},{3},{0, 15},{8, 1, 2, 3},{3},{3},{0, 1, 15},{9, 5, 15},{0, 1, 14, 15},{15, 7},{15, 7},{7},{3},{0, 1, 14, 15},{3},{3},{3}","{3},{3},{8, 3, 13, 14},{14, 15},{0},{0, 15},{15, 7},{3},{3},{3},{15, 7},{3, 7},{0, 3},{3},{0, 1, 15},{3},{7},{8, 1, 2, 3},{3},{0, 1, 14, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.359,0.266,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
225,targeted,None,"158,73,569,290,361,421,252,176,609,105,381,943,688,126,102,190,1414,594,497,358,242,322,67","158,73,569,290,361,421,252,176,609,105,381,943,688,126,102,190,1414,594,497,1615,322,322,67",None,2,None,None,26.807,0.0,15.881,None,6.295,"{0, 5, 7}","{16, 14}",{0},1.0,0.0,"{0, 5, 7},{17},{7},{7},{5, 7}","{16, 14},{3, 15},{7},{16, 13, 7},{9, 12, 15}","{0},{0},{0},{0},{0}",0.562,0.0,"{0, 5, 7},{17},{7},{7},{5, 7},{7},{2, 3},{16, 1},{16, 7},{7}","{16, 14},{3, 15},{7},{16, 13, 7},{9, 12, 15},{7},{0, 5, 7},{0, 1, 3, 13},{0, 1},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.381,0.295,"{0, 5, 7},{17},{7},{7},{5, 7},{7},{2, 3},{16, 1},{16, 7},{7},{15, 5, 7},{0, 16, 7},{7},{0, 1},{1},{13, 7},{5, 15},{13, 7},{7},{3, 15}","{16, 14},{3, 15},{7},{16, 13, 7},{9, 12, 15},{7},{0, 5, 7},{0, 1, 3, 13},{0, 1},{7},{15, 5, 7},{15, 7},{0, 16, 7},{11, 1, 3, 7},{7},{0, 16, 14, 15},{7},{7},{7},{12, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.341,0.303,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
226,targeted,None,"619,437,572,119,694,360,230,483,190,10,17,587,274,461,161,192,845,319,263,1212,588,33,1246,424,499,670,466,736,380,245,196,258,988,1095,93,324,719,558,284,655,165,58,83,932,875,1181,581,747,1055,1172","619,437,572,119,694,360,230,483,190,10,17,587,274,461,161,192,845,319,263,1212,588,33,1246,424,499,670,466,736,380,245,196,258,988,1095,93,324,719,558,284,655,165,58,83,932,875,1181,581,747,1055,373",None,1,None,None,30.967,0.0,16.052,None,5.348,"{0, 1, 3, 5}",{7},{0},1.0,0.0,"{0, 1, 3, 5},{0, 5, 7},{3, 13, 15},{0},{3, 7}","{7},{6},{11, 7},{0, 1, 3, 5},{0, 5, 7}","{0},{0},{0},{0},{0}",0.736,0.523,"{0, 1, 3, 5},{0, 5, 7},{3, 13, 15},{0},{3, 7},{15, 7},{13, 7},{13, 7},{6},{3, 13, 7}","{7},{6},{11, 7},{0, 1, 3, 5},{0, 5, 7},{3, 7},{3, 13, 15},{7},{0, 1, 14},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.537,0.42,"{0, 1, 3, 5},{0, 5, 7},{3, 13, 15},{0},{3, 7},{15, 7},{13, 7},{13, 7},{6},{3, 13, 7},{13, 7},{10, 3, 5},{3, 7},{3, 7},{11, 7},{7},{7},{3, 7},{3, 7},{0, 1, 3}","{7},{6},{11, 7},{0, 1, 3, 5},{0, 5, 7},{3, 7},{3, 13, 15},{7},{0, 1, 14},{13, 7},{10, 7},{3, 7},{7},{0},{13, 7},{15, 7},{3, 13, 7},{0, 15, 7},{3, 7},{0, 1, 5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.417,0.392,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
227,targeted,None,"50,199,104,553,303,435,168,515,420,159,614,333,61,1142,644,107,446,978,299,465,51,434,27,530,310,684,85,424,167,277,348,623,180,368,217,322,694,308,489,97,248,367,289,94,343,330,35,529,735,448","50,199,104,553,303,435,168,515,420,159,614,333,61,1142,644,107,446,978,299,465,51,434,27,530,310,684,85,424,167,277,348,623,180,368,217,322,694,308,489,97,248,367,289,35,343,330,1333,529,735,448",None,2,None,None,28.598,0.0,5.579,None,5.549,"{0, 16, 3, 14}","{5, 14, 7}",{0},1.0,0.0,"{0, 16, 3, 14},{3, 13, 15},{3},{3},{3}","{5, 14, 7},{8, 3, 5},{3, 13},{3},{3}","{0},{0},{0},{0},{0}",0.555,0.0,"{0, 16, 3, 14},{3, 13, 15},{3},{3},{3},{11, 3},{7},{3},{3},{3}","{5, 14, 7},{8, 3, 5},{3, 13},{3},{3},{3},{3, 13},{0, 17, 3},{11, 3, 13},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.437,0.096,"{0, 16, 3, 14},{3, 13, 15},{3},{3},{3},{11, 3},{7},{3},{3},{3},{10, 3, 5},{3},{3},{3},{3},{3, 13},{3},{3, 13},{0, 1, 3},{3}","{5, 14, 7},{8, 3, 5},{3, 13},{3},{3},{3},{3, 13},{0, 17, 3},{11, 3, 13},{3},{16, 3},{0, 11, 3},{3, 7},{3, 13},{3, 13},{3},{3, 13},{3},{3, 13},{0, 3, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.357,0.164,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
228,targeted,None,"196,257,32,100,113,51,819,110,114,101,7,327,187,432,665,146,103,343,500,374,183,572,481,906,53,331,308,321,980,230,289,424,241,217,575,219,406,232,475,58,507,355,318,143,126,71,295,1091,581,353","196,257,32,100,113,51,819,110,114,101,7,327,187,432,665,146,103,343,500,374,183,572,481,906,53,331,308,321,980,230,289,424,241,217,575,219,406,232,475,58,507,355,318,143,126,649,295,1091,581,353",None,1,None,None,30.084,0.0,12.402,None,5.568,"{0, 11, 3, 14}",{7},{0},1.0,0.0,"{0, 11, 3, 14},{16, 3},{3},{3, 13},{7}","{7},{3, 13},{5, 14, 7},{0, 13, 15},{0, 13}","{0},{0},{0},{0},{0}",0.571,0.354,"{0, 11, 3, 14},{16, 3},{3},{3, 13},{7},{11, 2, 3},{3},{1, 17, 7},{7},{15}","{7},{3, 13},{5, 14, 7},{0, 13, 15},{0, 13},{0, 13, 15},{11},{3},{0, 15},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.402,0.443,"{0, 11, 3, 14},{16, 3},{3},{3, 13},{7},{11, 2, 3},{3},{1, 17, 7},{7},{15},{11, 2, 3},{9, 5, 7},{11, 2, 3},{3},{3},{10},{0, 11, 3},{3},{2, 3},{7}","{7},{3, 13},{5, 14, 7},{0, 13, 15},{0, 13},{0, 13, 15},{11},{3},{0, 15},{7},{0, 1},{11, 2, 3},{9, 5, 7},{3},{0, 1, 3, 13},{3, 13},{16, 17, 13, 7},{15, 7},{3, 13},{11, 2, 3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.319,0.355,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
229,targeted,None,"290,140,492,59,31,190,112,274,67,1108,255,10,276,781,658,201,93,316,755,572,493,58,1017,548","290,140,492,59,31,190,112,274,67,1108,255,10,276,781,658,201,93,316,755,18,493,58,1017,548",None,1,None,None,26.526,0.0,13.672,None,5.921,"{0, 15, 7}","{12, 15, 14, 7}",{0},1.0,0.0,"{0, 15, 7},{16, 3, 13},{12, 15, 14, 7},{7},{7}","{12, 15, 14, 7},{16, 7},{0, 15, 7},{8, 3, 14, 7},{7}","{0},{0},{0},{0},{0}",0.389,0.169,"{0, 15, 7},{16, 3, 13},{12, 15, 14, 7},{7},{7},{8, 3, 14, 7},{12, 7},{7},{7},{3, 7}","{12, 15, 14, 7},{16, 7},{0, 15, 7},{8, 3, 14, 7},{7},{16, 3, 13},{7},{7},{7},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.273,0.134,"{0, 15, 7},{16, 3, 13},{12, 15, 14, 7},{7},{7},{8, 3, 14, 7},{12, 7},{7},{7},{3, 7},{7},{7},{7},{7},{7},{16, 7},{7},{13, 7},{7},{7}","{12, 15, 14, 7},{16, 7},{0, 15, 7},{8, 3, 14, 7},{7},{16, 3, 13},{7},{7},{7},{7},{12, 7},{7},{7},{7},{3, 7},{7},{1, 3, 7},{7},{3, 13},{0, 16, 13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.215,0.155,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
230,targeted,None,"290,96,2,49,421,190,513,666,59,696,579,492,1,381,140,44,73,583,405,52","290,96,2,49,421,190,513,666,59,696,579,492,1,381,140,44,73,583,405,472",None,1,None,None,26.879,0.0,33.264,None,6.067,"{0, 5, 7}","{11, 7}",{0},1.0,0.0,"{0, 5, 7},{3, 13, 7},{5, 15},{16, 7},{16, 6}","{11, 7},{0, 16, 15, 7},{12, 15},{3},{0, 12, 13, 15}","{0},{0},{0},{0},{0}",0.399,0.543,"{0, 5, 7},{3, 13, 7},{5, 15},{16, 7},{16, 6},{15, 5, 7},{7},{0, 1, 13, 14, 16},{7},{0, 17, 3}","{11, 7},{0, 16, 15, 7},{12, 15},{3},{0, 12, 13, 15},{0, 13, 15},{3},{3},{3},{0, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.466,0.566,"{0, 5, 7},{3, 13, 7},{5, 15},{16, 7},{16, 6},{15, 5, 7},{7},{0, 1, 13, 14, 16},{7},{0, 17, 3},{3, 13},{12, 15},{7},{15, 7},{16, 13, 7},{12, 7},{3, 7},{5, 7},{3, 15},{12, 15}","{11, 7},{0, 16, 15, 7},{12, 15},{3},{0, 12, 13, 15},{0, 13, 15},{3},{3},{3},{0, 15},{15, 7},{11, 3, 13},{0, 16, 7},{0, 15},{0, 1, 14, 16},{15, 5, 7},{12, 5, 7},{1, 13},{13, 15},{1, 3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.327,0.483,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
231,targeted,None,"1024,794,732,977,86,891,162,190,630,360,358,115,218,409,357,483,539,217,102,103,53,202,257,312,623,146,230,619,83,157,23,183,400,210,348,113,142,369,471,318,77,802,232,13,355,82,98,505,47,254","1024,794,732,977,86,891,162,190,630,360,358,115,218,409,357,483,539,217,102,103,53,202,257,312,623,146,230,619,83,157,23,183,400,210,348,113,142,369,471,318,77,802,232,13,355,264,98,505,47,254",None,1,None,None,36.543,0.0,75.708,None,5.439,"{0, 16, 14}","{0, 1}",{0},1.0,1.0,"{0, 16, 14},{0, 15},{0, 15},{0, 1, 12},{0, 15}","{0, 1},{0, 13, 15},{0, 1, 14},{0},{0, 15}","{0},{0},{0},{0},{0}",1.0,1.0,"{0, 16, 14},{0, 15},{0, 15},{0, 1, 12},{0, 15},{0, 1, 14, 15},{0, 13},{0, 13, 15},{0, 1, 5, 7},{0, 1, 14}","{0, 1},{0, 13, 15},{0, 1, 14},{0},{0, 15},{0, 15},{0, 1, 15},{0, 1, 5, 7},{0, 14},{0, 1, 14}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",1.0,1.0,"{0, 16, 14},{0, 15},{0, 15},{0, 1, 12},{0, 15},{0, 1, 14, 15},{0, 13},{0, 13, 15},{0, 1, 5, 7},{0, 1, 14},{0, 10, 14, 15},{0, 1, 15},{0, 1, 14},{0, 15},{0, 13, 15},{0, 1, 14},{0, 1, 15},{0, 1, 8},{0, 1, 14},{0, 1}","{0, 1},{0, 13, 15},{0, 1, 14},{0},{0, 15},{0, 15},{0, 1, 15},{0, 1, 5, 7},{0, 14},{0, 1, 14},{0, 13, 15},{0, 1, 12},{0, 17, 3},{0, 1, 14},{0, 13},{0, 1, 14},{0, 1, 3, 13},{0, 16, 14},{0, 13, 15},{0, 1, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",1.0,1.0,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
232,targeted,None,"270,290,2,421,281,405,99,653,214,73,752,105,609,61,49,961,41,852,595,485,176,145,158,52,861,269,44,340,96,1024,118,377,926,1422,586,951,188,117,275,929","270,290,2,421,281,405,99,653,214,73,752,105,609,61,49,961,41,852,595,485,176,145,158,52,861,269,44,340,96,1024,118,377,926,1422,586,188,188,117,275,929",None,1,None,None,32.184,0.0,44.409,None,6.101,"{0, 1}","{14, 15}",{0},1.0,0.0,"{0, 1},{14, 15},{7},{0, 12, 14, 15},{0, 1, 14, 15}","{14, 15},{7},{0, 12, 14, 15},{0, 1, 14, 15},{0, 1}","{0},{0},{0},{0},{0}",0.749,0.631,"{0, 1},{14, 15},{7},{0, 12, 14, 15},{0, 1, 14, 15},{3},{15, 7},{15},{0, 15},{0, 3}","{14, 15},{7},{0, 12, 14, 15},{0, 1, 14, 15},{0, 1},{15},{15, 7},{0, 15},{13, 7},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.675,0.53,"{0, 1},{14, 15},{7},{0, 12, 14, 15},{0, 1, 14, 15},{3},{15, 7},{15},{0, 15},{0, 3},{0, 16, 15, 7},{0, 1},{3, 13},{9, 5, 7},{3, 13},{13, 7},{0, 15, 7},{3},{0, 16, 15},{3}","{14, 15},{7},{0, 12, 14, 15},{0, 1, 14, 15},{0, 1},{15},{15, 7},{0, 15},{13, 7},{3},{0, 16, 15, 7},{9, 5, 7},{0, 3},{3, 13},{15, 7},{0, 16, 15},{0, 3},{0, 15, 7},{3, 13},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.62,0.552,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
233,targeted,None,"492,290,572,50,255,587,536,84,180,373,192,149,109,222,316,78,179,366,746","492,290,572,50,255,587,536,84,180,746,149,316,109,222,316,78,449,366,746",None,4,None,None,25.395,0.0,3.943,None,6.245,"{0, 1}",{7},{0},1.0,0.0,"{0, 1},{15, 7},{3, 13},{7},{3, 14}","{7},{3, 14},{3},{3, 13},{3}","{0},{0},{0},{0},{0}",0.366,0.0,"{0, 1},{15, 7},{3, 13},{7},{3, 14},{15, 5, 7},{7},{3},{12, 7},{3, 7}","{7},{3, 14},{3},{3, 13},{3},{0, 1, 3, 13},{3, 13},{5, 7},{3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.239,0.187,"{0, 1},{15, 7},{3, 13},{7},{3, 14},{15, 5, 7},{7},{3},{12, 7},{3, 7},{5, 7},{3, 13},{0, 1, 7, 13, 14, 16},{0, 17, 3},{0, 1, 13, 14, 16},{0, 15, 7},{3, 13},{3},{12, 15, 14, 7},{5, 7}","{7},{3, 14},{3},{3, 13},{3},{0, 1, 3, 13},{3, 13},{5, 7},{3},{3, 13},{3},{3, 13},{3, 13},{3},{3},{3, 13},{3, 13},{3, 13, 7},{13, 7},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.398,0.12,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
234,targeted,None,"102,889,648,330,222,149,32,175,50,101,192,157,243,360,240,756,18,84,1137,1105,201,245,241,255,1169,312,63,69,611,375,134,279,404,137,166,873,524,24,26,1127,178,351,281,407,566,388,86,624,298,181","102,889,648,330,222,149,32,175,50,101,192,157,243,360,240,756,18,84,1137,1105,201,245,241,255,1169,312,63,69,611,375,134,279,404,137,166,873,524,24,26,1127,178,351,281,407,566,388,86,624,181,181",None,1,None,None,32.136,0.0,34.155,None,5.666,"{0, 15}","{16, 7}",{0},1.0,0.0,"{0, 15},{0, 13, 7},{14, 7},{16, 7},{0, 1, 3, 14}","{16, 7},{16, 13, 7},{7},{12, 7},{15, 7}","{0},{0},{0},{0},{0}",0.745,0.0,"{0, 15},{0, 13, 7},{14, 7},{16, 7},{0, 1, 3, 14},{0, 1, 13, 14, 16},{7},{16, 13, 7},{15, 5, 7},{3, 13}","{16, 7},{16, 13, 7},{7},{12, 7},{15, 7},{0, 15},{3, 13},{13, 7},{7},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.61,0.08,"{0, 15},{0, 13, 7},{14, 7},{16, 7},{0, 1, 3, 14},{0, 1, 13, 14, 16},{7},{16, 13, 7},{15, 5, 7},{3, 13},{3},{0, 15},{12, 7},{0, 1, 13, 14, 16},{0, 5, 7},{7},{9, 12, 5, 15},{5, 7},{2, 3, 15},{0, 14, 15}","{16, 7},{16, 13, 7},{7},{12, 7},{15, 7},{0, 15},{3, 13},{13, 7},{7},{5, 7},{0, 1, 3, 13},{0, 13, 7},{0, 1, 13, 14, 16},{7},{15, 7},{0, 1, 7, 13, 14, 16},{3},{5, 15},{7},{0, 5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.573,0.381,True,BERT4Rec,ml-100k,Action,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 17:49:22"
