i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
299,genetic,None,"332,158,41,49,961,861,61,815,99,136,190,53,530,167,192,69,949,278,180,352,624,655,630,201,102,620,13,312,360","332,158,41,93,961,861,61,815,99,136,190,53,530,167,192,69,949,278,180,352,624,655,630,201,102,620,13,312,360",None,1,None,None,93.891,None,None,None,None,241,201,None,0,None,"241,221,201,248,222","201,241,248,221,321",None,0.354,None,"241,221,201,248,222,321,190,112,113,658","201,241,248,221,321,222,190,113,112,572",None,0.452,None,"241,221,201,248,222,321,190,112,113,658,572,102,817,568,114,79,58,424,78,25","201,241,248,221,321,222,190,113,112,572,102,658,817,58,409,25,114,368,322,568",None,0.414,None,"(None, 10, 0)",None,None,"332,158,41,49,961,861,61,815,99,136,190,53,530,167,192,69,949,278,180,352,624,655,630,201,102,620,13,312,360","332,158,41,49,961,861,61,815,99,136,190,53,530,167,192,69,949,278,180,352,624,655,630,201,102,620,13,312,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_332,sync_158,sync_41,sync_49,sync_961,sync_861,sync_61,sync_815,sync_99,sync_136,sync_190,sync_53,sync_530,sync_167,sync_192,sync_69,sync_949,sync_278,sync_180,sync_352,sync_624,sync_655,sync_630,sync_201,sync_102,sync_620,sync_13,sync_312,add_121,del_360",1,None,None,None,121.755,None,25,201,None,0,"25,53,141,312,217","201,241,248,221,321",None,0.0,"25,53,141,312,217,255,162,210,103,78","201,241,248,221,321,222,190,113,112,572",None,0.0,"25,53,141,312,217,255,162,210,103,78,102,230,58,101,121,11,178,409,69,696","201,241,248,221,321,222,190,113,112,572,102,658,817,58,409,25,114,368,322,568",None,0.069,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
300,genetic,None,"374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,198,279,744","374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,186,279,744",None,1,None,None,108.318,None,None,None,None,376,544,None,0,None,"376,1229,15,544,459","544,459,376,15,830",None,0.268,None,"376,1229,15,544,459,806,838,927,297,1093","544,459,376,15,830,1229,297,927,220,1093",None,0.347,None,"376,1229,15,544,459,806,838,927,297,1093,979,590,83,26,875,370,173,759,220,574","544,459,376,15,830,1229,297,927,220,1093,979,26,838,198,418,590,370,699,831,524",None,0.31,None,"(None, 10, 0)",None,None,"374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,198,279,744","374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,198,279,9","sync_374,sync_48,sync_232,sync_217,sync_477,sync_202,sync_400,sync_183,sync_113,sync_916,sync_802,sync_901,sync_457,sync_355,sync_66,sync_98,sync_699,sync_505,sync_115,sync_254,sync_148,sync_369,sync_376,sync_404,sync_759,sync_297,sync_475,sync_250,sync_325,sync_47,sync_26,sync_209,sync_55,sync_137,sync_830,sync_438,sync_77,sync_1123,sync_152,sync_838,sync_939,sync_370,sync_220,sync_528,sync_1238,sync_418,sync_451,sync_198,sync_279,add_9,del_744",1,None,None,None,57.857,None,9,544,None,0,"9,34,671,180,227","544,459,376,15,830",None,0.0,"9,34,671,180,227,308,424,436,292,550","544,459,376,15,830,1229,297,927,220,1093",None,0.0,"9,34,671,180,227,308,424,436,292,550,439,93,367,432,194,378,167,558,591,480","544,459,376,15,830,1229,297,927,220,1093,979,26,838,198,418,590,370,699,831,524",None,0.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
301,genetic,None,"2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1127,414","2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,613,88,365,383,824,1007,159,1127,414",None,1,None,None,107.663,None,None,None,None,234,88,None,0,None,"234,88,137,18,414","88,137,234,18,26",None,0.479,None,"234,88,137,18,414,389,26,159,1007,383","88,137,234,18,26,159,414,389,383,182",None,0.446,None,"234,88,137,18,414,389,26,159,1007,383,182,1124,404,268,614,98,24,511,74,453","88,137,234,18,26,159,414,389,383,182,268,1007,404,614,1124,98,24,74,453,279",None,0.494,None,"(None, 10, 0)",None,None,"2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1127,414","2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1127,414,-1,-1,-1,-1,-1,-1,-1","sync_2,sync_492,sync_140,sync_44,sync_158,sync_752,sync_117,sync_358,sync_372,sync_210,sync_154,sync_428,sync_288,sync_50,sync_53,sync_141,sync_25,sync_696,sync_356,sync_366,sync_662,sync_190,sync_189,sync_614,sync_11,sync_874,sync_31,sync_645,sync_64,sync_199,sync_142,sync_535,sync_677,sync_74,sync_13,sync_88,sync_365,sync_383,sync_824,sync_1007,sync_159,sync_1127,sync_414",0,None,None,None,8.322,None,88,88,None,1,"88,137,234,18,26","88,137,234,18,26",None,1.0,"88,137,234,18,26,159,414,389,383,182","88,137,234,18,26,159,414,389,383,182",None,1.0,"88,137,234,18,26,159,414,389,383,182,268,1007,404,614,1124,98,24,74,453,279","88,137,234,18,26,159,414,389,383,182,268,1007,404,614,1124,98,24,74,453,279",None,1.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
302,genetic,None,"841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,348","841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,426,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,348",None,1,None,None,106.439,None,None,None,None,157,289,None,0,None,"157,289,658,409,255","289,157,658,409,255",None,0.723,None,"157,289,658,409,255,175,330,201,32,298","289,157,658,409,255,175,330,201,32,278",None,0.757,None,"157,289,658,409,255,175,330,201,32,298,278,102,101,274,493,94,119,368,218,200","289,157,658,409,255,175,330,201,32,278,298,274,101,493,102,200,94,119,218,368",None,0.69,None,"(None, 10, 0)",None,None,"841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,348","841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,54","sync_841,sync_484,sync_104,sync_303,sync_137,sync_141,sync_18,sync_578,sync_40,sync_268,sync_132,sync_614,sync_152,sync_615,sync_1078,sync_683,sync_567,sync_182,sync_414,sync_657,sync_404,sync_492,sync_388,sync_653,sync_191,sync_666,sync_134,sync_11,sync_771,sync_746,sync_57,sync_943,sync_483,sync_102,sync_601,sync_330,sync_663,sync_630,sync_562,sync_239,sync_72,sync_240,sync_312,sync_277,sync_222,sync_7,sync_200,sync_390,sync_289,add_54,del_348",1,None,None,None,64.053,None,240,289,None,0,"240,54,509,409,192","289,157,658,409,255",None,0.146,"240,54,509,409,192,100,255,768,943,89","289,157,658,409,255,175,330,201,32,278",None,0.123,"240,54,509,409,192,100,255,768,943,89,218,480,472,102,230,157,113,175,310,241","289,157,658,409,255,175,330,201,32,278,298,274,101,493,102,200,94,119,218,368",None,0.111,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
303,genetic,None,"104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,177,1317,26","104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,771,1317,26",None,1,None,None,107.149,None,None,None,None,1317,177,None,0,None,"1317,177,174,234,488","177,1317,174,132,234",None,0.512,None,"1317,177,174,234,488,132,1326,12,152,404","177,1317,174,132,234,488,191,351,404,456",None,0.436,None,"1317,177,174,234,488,132,1326,12,152,404,191,351,125,456,978,446,24,279,182,841","177,1317,174,132,234,488,191,351,404,456,125,446,279,152,12,24,182,1326,978,524",None,0.384,None,"(None, 10, 0)",None,None,"104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,177,1317,26","104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,177,1317,26","sync_104,sync_401,sync_74,sync_708,sync_1176,sync_141,sync_1535,sync_1601,sync_1453,sync_553,sync_648,sync_121,sync_366,sync_763,sync_408,sync_771,sync_1260,sync_491,sync_453,sync_388,sync_1115,sync_328,sync_1127,sync_40,sync_96,sync_225,sync_567,sync_566,sync_935,sync_52,sync_29,sync_1035,sync_152,sync_1569,sync_1227,sync_578,sync_465,sync_1332,sync_299,sync_137,sync_337,sync_957,sync_978,sync_404,sync_18,sync_1326,sync_1173,sync_177,sync_1317,sync_26",0,None,None,None,7.931,None,177,177,None,1,"177,1317,174,132,234","177,1317,174,132,234",None,1.0,"177,1317,174,132,234,488,191,351,404,456","177,1317,174,132,234,488,191,351,404,456",None,1.0,"177,1317,174,132,234,488,191,351,404,456,125,446,279,152,12,24,182,1326,978,524","177,1317,174,132,234,488,191,351,404,456,125,446,279,152,12,24,182,1326,978,524",None,1.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
304,genetic,None,"290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,1077","290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,83,243,970,644,372,356,1077",None,1,None,None,92.133,None,None,None,None,1077,29,None,0,None,"1077,78,1115,601,149","29,1077,78,149,50",None,0.265,None,"1077,78,1115,601,149,50,29,190,596,13","29,1077,78,149,50,601,210,142,401,190",None,0.293,None,"1077,78,1115,601,149,50,29,190,596,13,210,142,358,874,502,53,401,59,696,433","29,1077,78,149,50,601,210,142,401,190,502,13,596,503,1115,874,358,53,59,388",None,0.289,None,"(None, 10, 0)",None,None,"290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,1077","290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,1544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_2,sync_1561,sync_140,sync_105,sync_1,sync_61,sync_244,sync_1344,sync_401,sync_13,sync_323,sync_50,sync_31,sync_1417,sync_408,sync_78,sync_243,sync_970,sync_644,sync_372,sync_356,add_1544,del_1077",1,None,None,None,62.301,None,134,29,None,0,"134,601,64,59,69","29,1077,78,149,50",None,0.0,"134,601,64,59,69,243,461,874,433,424","29,1077,78,149,50,601,210,142,401,190",None,0.016,"134,601,64,59,69,243,461,874,433,424,404,666,978,90,295,210,60,1115,104,189","29,1077,78,149,50,601,210,142,401,190,502,13,596,503,1115,874,358,53,59,388",None,0.03,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
305,genetic,None,"290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,1073","290,1518,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,1073",None,1,None,None,90.863,None,None,None,None,983,602,None,0,None,"983,602,937,276,1048","602,983,937,489,276",None,0.512,None,"983,602,937,276,1048,476,489,658,493,623","602,983,937,489,276,623,658,1048,476,35",None,0.442,None,"983,602,937,276,1048,476,489,658,493,623,35,119,562,248,192,548,63,1021,483,572","602,983,937,489,276,623,658,1048,476,35,493,119,37,192,248,562,221,572,63,261",None,0.424,None,"(None, 10, 0)",None,None,"290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,1073","290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,1073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_118,sync_126,sync_67,sync_78,sync_619,sync_32,sync_33,sync_240,sync_455,sync_187,sync_245,sync_885,sync_37,sync_545,sync_409,sync_477,sync_35,sync_937,sync_239,sync_695,sync_79,sync_57,sync_162,sync_1313,sync_1073",0,None,None,None,56.542,None,602,602,None,1,"602,983,937,489,276","602,983,937,489,276",None,1.0,"602,983,937,489,276,623,658,1048,476,35","602,983,937,489,276,623,658,1048,476,35",None,1.0,"602,983,937,489,276,623,658,1048,476,35,493,119,37,192,248,562,221,572,63,261","602,983,937,489,276,623,658,1048,476,35,493,119,37,192,248,562,221,572,63,261",None,1.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
306,genetic,None,"290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,69","290,96,653,361,176,118,52,892,1024,145,190,551,102,567,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,69",None,1,None,None,109.903,None,None,None,None,78,69,None,0,None,"78,69,648,87,863","69,78,648,87,863",None,0.723,None,"78,69,648,87,863,53,696,601,141,25","69,78,648,87,863,53,696,141,601,25",None,0.753,None,"78,69,648,87,863,53,696,601,141,25,13,553,90,121,503,11,190,84,104,50","69,78,648,87,863,53,696,141,601,25,13,553,121,90,104,11,503,84,190,404",None,0.698,None,"(None, 10, 0)",None,None,"290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,69","290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,1,-1,-1,-1,-1","sync_290,sync_96,sync_653,sync_361,sync_176,sync_118,sync_52,sync_892,sync_1024,sync_145,sync_190,sync_551,sync_102,sync_67,sync_450,sync_257,sync_276,sync_255,sync_32,sync_240,sync_226,sync_126,sync_204,sync_330,sync_241,sync_755,sync_57,sync_358,sync_109,sync_92,sync_35,sync_10,sync_53,sync_37,sync_248,sync_25,sync_78,sync_13,sync_503,sync_567,sync_260,sync_404,sync_303,sync_50,sync_1035,add_1,del_69",1,None,None,None,83.115,None,90,69,None,0,"90,25,190,50,78","69,78,648,87,863",None,0.053,"90,25,190,50,78,53,134,358,175,59","69,78,648,87,863,53,696,141,601,25",None,0.12,"90,25,190,50,78,53,134,358,175,59,69,210,274,572,79,1,290,13,696,223","69,78,648,87,863,53,696,141,601,25,13,553,121,90,104,11,503,84,190,404",None,0.104,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
307,genetic,None,"121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,158,25,596","121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,840,532,178,142,141,290,69,78,428,158,25,596",None,1,None,None,105.277,None,None,None,None,596,87,None,0,None,"596,1115,87,84,388","87,78,84,407,1115",None,0.231,None,"596,1115,87,84,388,644,553,407,677,141","87,78,84,407,1115,553,388,596,141,404",None,0.274,None,"596,1115,87,84,388,644,553,407,677,141,78,502,484,615,601,303,210,862,648,137","87,78,84,407,1115,553,388,596,141,404,502,601,648,696,303,69,683,18,863,862",None,0.249,None,"(None, 10, 0)",None,None,"121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,158,25,596","121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,158,25,31","sync_121,sync_723,sync_874,sync_50,sync_696,sync_645,sync_513,sync_11,sync_84,sync_243,sync_877,sync_328,sync_971,sync_1083,sync_1124,sync_358,sync_502,sync_53,sync_677,sync_648,sync_863,sync_260,sync_104,sync_205,sync_224,sync_566,sync_453,sync_365,sync_176,sync_782,sync_349,sync_87,sync_18,sync_614,sync_366,sync_535,sync_407,sync_137,sync_404,sync_532,sync_178,sync_142,sync_141,sync_290,sync_69,sync_78,sync_428,sync_158,sync_25,add_31,del_596",1,None,None,None,80.787,None,11,87,None,0,"11,178,31,358,50","87,78,84,407,1115",None,0.0,"11,178,31,358,50,856,25,648,74,205","87,78,84,407,1115,553,388,596,141,404",None,0.0,"11,178,31,358,50,856,25,648,74,205,365,428,78,87,141,696,190,614,615,210","87,78,84,407,1115,553,388,596,141,404,502,601,648,696,303,69,683,18,863,862",None,0.042,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
308,genetic,None,"109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,20","109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,240",None,1,None,None,104.989,None,None,None,None,240,455,None,0,None,"240,54,572,113,192","455,236,57,251,432",None,0.0,None,"240,54,572,113,192,58,157,257,432,658","455,236,57,251,432,101,1181,180,390,493",None,0.017,None,"240,54,572,113,192,58,157,257,432,658,493,308,162,230,95,472,48,409,101,321","455,236,57,251,432,101,1181,180,390,493,486,647,54,97,192,187,109,308,1355,321",None,0.079,None,"(None, 10, 0)",None,None,"109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,20","109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,138","sync_109,sync_298,sync_623,sync_274,sync_493,sync_201,sync_102,sync_230,sync_817,sync_472,sync_572,sync_217,sync_357,sync_67,sync_495,sync_157,sync_236,sync_148,sync_710,sync_35,sync_434,sync_82,sync_248,sync_481,sync_112,sync_32,sync_285,sync_196,sync_30,sync_186,sync_889,sync_259,sync_9,sync_321,sync_322,sync_37,sync_65,sync_497,sync_255,sync_857,sync_368,sync_658,sync_95,sync_240,sync_79,sync_97,sync_119,sync_755,sync_980,del_20,add_138",1,None,None,None,45.4,None,493,455,None,0,"493,100,497,501,221","455,236,57,251,432",None,0.0,"493,100,497,501,221,95,157,236,390,678","455,236,57,251,432,101,1181,180,390,493",None,0.092,"493,100,497,501,221,95,157,236,390,678,889,658,257,58,665,240,187,274,138,695","455,236,57,251,432,101,1181,180,390,493,486,647,54,97,192,187,109,308,1355,321",None,0.077,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
309,genetic,None,"49,653,84,1035,488,513,69,53,358,90,50,154,59,190,365,282,134,453,25,29,87,78,723,210,648,696,141","49,653,84,1035,488,513,69,53,358,90,50,154,59,190,365,282,134,513,25,29,87,78,723,210,648,696,141",None,1,None,None,96.551,None,None,None,None,87,365,None,0,None,"87,365,404,11,141","365,87,404,11,141",None,0.723,None,"87,365,404,11,141,407,18,84,121,78","365,87,404,11,141,407,18,84,121,78",None,0.821,None,"87,365,404,11,141,407,18,84,121,78,29,553,453,104,137,648,303,125,401,782","365,87,404,11,141,407,18,84,121,78,553,137,453,104,648,303,125,29,159,69",None,0.689,None,"(None, 10, 0)",None,None,"49,653,84,1035,488,513,69,53,358,90,50,154,59,190,365,282,134,453,25,29,87,78,723,210,648,696,141","49,653,84,1035,488,513,69,53,358,90,50,154,59,190,365,282,134,453,25,29,87,78,723,210,648,696,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_49,sync_653,sync_84,sync_1035,sync_488,sync_513,sync_69,sync_53,sync_358,sync_90,sync_50,sync_154,sync_59,sync_190,sync_365,sync_282,sync_134,sync_453,sync_25,sync_29,sync_87,sync_78,sync_723,sync_210,sync_648,sync_696,sync_141",0,None,None,None,20.474,None,365,365,None,1,"365,87,404,11,141","365,87,404,11,141",None,1.0,"365,87,404,11,141,407,18,84,121,78","365,87,404,11,141,407,18,84,121,78",None,1.0,"365,87,404,11,141,407,18,84,121,78,553,137,453,104,648,303,125,29,159,69","365,87,404,11,141,407,18,84,121,78,553,137,453,104,648,303,125,29,159,69",None,1.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
310,genetic,None,"447,177,26,578,182,468,159,1040,763,453,410,1037,404,351,88,282,12,178,98,1105,526,1068,345,337,1137,491,873,108,444,657,1007,435,556,162,390,409,241,630,817,419,562,261,475,151,202,32,35,157,102,167","447,177,26,578,182,468,159,1040,763,453,410,1037,404,351,88,282,12,178,98,1105,526,1068,345,337,1137,491,873,108,444,657,1007,435,556,162,390,409,241,630,817,419,562,261,475,151,202,32,35,557,102,167",None,1,None,None,108.702,None,None,None,None,157,409,None,0,None,"157,409,102,322,348","409,157,201,230,27",None,0.277,None,"157,409,102,322,348,201,162,27,32,113","409,157,201,230,27,162,102,113,348,103",None,0.319,None,"157,409,102,322,348,201,162,27,32,113,167,390,230,312,103,23,257,217,368,58","409,157,201,230,27,162,102,113,348,103,322,312,167,257,32,390,58,192,23,136",None,0.287,None,"(None, 10, 0)",None,None,"447,177,26,578,182,468,159,1040,763,453,410,1037,404,351,88,282,12,178,98,1105,526,1068,345,337,1137,491,873,108,444,657,1007,435,556,162,390,409,241,630,817,419,562,261,475,151,202,32,35,157,102,167","447,177,26,578,182,468,159,1040,763,453,410,1037,404,351,88,282,12,178,98,1105,526,1068,345,337,1137,491,873,108,444,657,1007,435,556,162,390,409,241,630,817,419,562,261,475,151,202,32,35,157,102,54","sync_447,sync_177,sync_26,sync_578,sync_182,sync_468,sync_159,sync_1040,sync_763,sync_453,sync_410,sync_1037,sync_404,sync_351,sync_88,sync_282,sync_12,sync_178,sync_98,sync_1105,sync_526,sync_1068,sync_345,sync_337,sync_1137,sync_491,sync_873,sync_108,sync_444,sync_657,sync_1007,sync_435,sync_556,sync_162,sync_390,sync_409,sync_241,sync_630,sync_817,sync_419,sync_562,sync_261,sync_475,sync_151,sync_202,sync_32,sync_35,sync_157,sync_102,add_54,del_167",1,None,None,None,74.482,None,409,409,None,1,"409,100,472,192,54","409,157,201,230,27",None,0.339,"409,100,472,192,54,230,103,240,162,348","409,157,201,230,27,162,102,113,348,103",None,0.32,"409,100,472,192,54,230,103,240,162,348,27,157,113,310,102,101,630,434,245,312","409,157,201,230,27,162,102,113,348,103,322,312,167,257,32,390,58,192,23,136",None,0.242,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
