i,gen_target_y@1,pop_size,generations,jaccard_threshold,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,determinism,model,dataset,target_cat,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,timestamp
23,{0},4096,10,0.7,targeted,nan,"306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1258,262,716,628,986,154,119,274,572,204,961,140,281","306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1258,262,716,628,986,154,119,274,572,204,912,140,281",nan,1.0,nan,nan,42.661,94.482,84.473,2.463,2.747,"{0, 13, 15}","{12, 15}",1.0,1.0,"{0, 13, 15},{0, 13, 7},{0, 1, 14, 16},{12, 15},{9, 5, 7}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7}","{0},{0},{0},{0},{0}",0.773,1.0,"{0, 13, 15},{0, 13, 7},{0, 1, 14, 16},{12, 15},{9, 5, 7},{3},{5, 7},{10, 12, 5, 15},{9, 12, 5, 15},{0, 12, 13, 15}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7},{13, 7},{7},{10, 12, 5, 15},{9, 5, 7},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.594,0.87,"{0, 13, 15},{0, 13, 7},{0, 1, 14, 16},{12, 15},{9, 5, 7},{3},{5, 7},{10, 12, 5, 15},{9, 12, 5, 15},{0, 12, 13, 15},{0, 3},{7},{10, 15},{15, 14, 7},{7},{3},{13, 7},{0, 10, 14},{0, 15},{3}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7},{13, 7},{7},{10, 12, 5, 15},{9, 5, 7},{5, 7},{3},{7},{9, 12, 5, 15},{0, 10, 14},{15, 14, 7},{0, 12, 13, 15},{10, 15},{0, 7},{0, 15},{1, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.542,0.818,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Tue, 07 Jan 2025 02:16:38"
23,{0},2048,10,0.7,targeted,nan,"306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1258,262,716,628,986,154,119,274,572,204,961,140,281","306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1248,262,716,628,986,154,119,274,572,204,961,140,281",nan,1.0,nan,nan,21.476,95.02,81.592,2.337,2.904,"{0, 1, 14, 16}","{12, 15}",1.0,0.0,"{0, 1, 14, 16},{0, 13, 15},{7},{12, 15},{7}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7}","{0},{0},{0},{0},{0}",0.771,0.373,"{0, 1, 14, 16},{0, 13, 15},{7},{12, 15},{7},{0, 13, 7},{13, 7},{10, 12, 5, 15},{15, 14, 7},{3}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7},{13, 7},{7},{10, 12, 5, 15},{9, 5, 7},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.588,0.532,"{0, 1, 14, 16},{0, 13, 15},{7},{12, 15},{7},{0, 13, 7},{13, 7},{10, 12, 5, 15},{15, 14, 7},{3},{9, 12, 5, 15},{5, 7},{9, 5, 7},{0, 7},{10, 12, 15},{0, 10, 14},{7},{0, 15},{10, 15},{3}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7},{13, 7},{7},{10, 12, 5, 15},{9, 5, 7},{5, 7},{3},{7},{9, 12, 5, 15},{0, 10, 14},{15, 14, 7},{0, 12, 13, 15},{10, 15},{0, 7},{0, 15},{1, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.491,0.591,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Mon, 06 Jan 2025 18:58:54"
23,{0},2048,10,0.5,targeted,nan,"306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1258,262,716,628,986,154,119,274,572,204,961,140,281","306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1248,262,716,628,986,154,119,274,572,204,961,140,281",nan,1.0,nan,nan,21.921,95.02,81.592,2.337,2.904,"{0, 1, 14, 16}","{12, 15}",1.0,0.0,"{0, 1, 14, 16},{0, 13, 15},{7},{12, 15},{7}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7}","{0},{0},{0},{0},{0}",0.771,0.373,"{0, 1, 14, 16},{0, 13, 15},{7},{12, 15},{7},{0, 13, 7},{13, 7},{10, 12, 5, 15},{15, 14, 7},{3}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7},{13, 7},{7},{10, 12, 5, 15},{9, 5, 7},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.588,0.532,"{0, 1, 14, 16},{0, 13, 15},{7},{12, 15},{7},{0, 13, 7},{13, 7},{10, 12, 5, 15},{15, 14, 7},{3},{9, 12, 5, 15},{5, 7},{9, 5, 7},{0, 7},{10, 12, 15},{0, 10, 14},{7},{0, 15},{10, 15},{3}","{12, 15},{0, 13, 7},{0, 1, 14, 16},{0, 13, 15},{7},{13, 7},{7},{10, 12, 5, 15},{9, 5, 7},{5, 7},{3},{7},{9, 12, 5, 15},{0, 10, 14},{15, 14, 7},{0, 12, 13, 15},{10, 15},{0, 7},{0, 15},{1, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.491,0.591,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sat, 04 Jan 2025 15:42:49"
34,{0},4096,10,0.7,targeted,nan,"300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,167","300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,625,322,292,34,167",nan,1.0,nan,nan,43.811,97.852,74.731,4.028,4.688,"{0, 1, 3, 13}","{3, 13}",1.0,1.0,"{0, 1, 3, 13},{3, 13, 7},{3, 13},{3, 13},{11, 3, 13}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13}","{0},{0},{0},{0},{0}",0.449,1.0,"{0, 1, 3, 13},{3, 13, 7},{3, 13},{3, 13},{11, 3, 13},{3, 14},{3, 13},{3, 7},{16, 3},{1, 3, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.323,1.0,"{0, 1, 3, 13},{3, 13, 7},{3, 13},{3, 13},{11, 3, 13},{3, 14},{3, 13},{3, 7},{16, 3},{1, 3, 7},{3, 13},{3, 13},{3, 13},{3},{3, 13},{3, 5},{0, 11, 3},{3},{3, 13},{0, 1}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13},{1, 3, 7},{0, 11, 3},{3},{3, 13},{3, 13},{3, 13},{3, 5},{3},{3, 7},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.302,0.976,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Tue, 07 Jan 2025 02:16:38"
34,{0},8192,10,0.5,targeted,nan,"300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,167","300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,1674",nan,1.0,nan,nan,87.869,98.438,78.271,4.236,4.845,"{0, 17, 3}","{3, 13}",1.0,1.0,"{0, 17, 3},{3},{3},{11, 3, 13},{8, 3, 5}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13}","{0},{0},{0},{0},{0}",0.456,1.0,"{0, 17, 3},{3},{3},{11, 3, 13},{8, 3, 5},{3},{3, 13},{3, 13},{3, 13},{3, 13}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.319,1.0,"{0, 17, 3},{3},{3},{11, 3, 13},{8, 3, 5},{3},{3, 13},{3, 13},{3, 13},{3, 13},{3, 13},{16, 3},{5, 14, 7},{16, 3, 7},{3, 13},{3, 13},{3},{0, 11, 3},{3},{3}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13},{1, 3, 7},{0, 11, 3},{3},{3, 13},{3, 13},{3, 13},{3, 5},{3},{3, 7},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.256,0.958,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sun, 05 Jan 2025 01:31:35"
34,{0},2048,10,0.7,targeted,nan,"300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,167","300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,1393",nan,1.0,nan,nan,21.625,96.875,83.008,4.866,4.449,"{0, 15}","{3, 13}",1.0,0.0,"{0, 15},{7},{0, 13, 15},{3, 13},{0, 13, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13}","{0},{0},{0},{0},{0}",0.757,0.475,"{0, 15},{7},{0, 13, 15},{3, 13},{0, 13, 7},{3},{3, 7},{3, 7},{3, 7},{5, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.519,0.602,"{0, 15},{7},{0, 13, 15},{3, 13},{0, 13, 7},{3},{3, 7},{3, 7},{3, 7},{5, 7},{0, 16, 13, 7},{13, 7},{3, 7},{7},{3, 13},{12, 15},{15, 7},{7},{11, 2, 3},{13, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13},{1, 3, 7},{0, 11, 3},{3},{3, 13},{3, 13},{3, 13},{3, 5},{3},{3, 7},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.405,0.59,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Mon, 06 Jan 2025 18:58:54"
34,{0},2048,10,0.5,targeted,nan,"300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,167","300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,1393",nan,1.0,nan,nan,22.038,96.875,83.008,4.866,4.449,"{0, 15}","{3, 13}",1.0,0.0,"{0, 15},{7},{0, 13, 15},{3, 13},{0, 13, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13}","{0},{0},{0},{0},{0}",0.757,0.475,"{0, 15},{7},{0, 13, 15},{3, 13},{0, 13, 7},{3},{3, 7},{3, 7},{3, 7},{5, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.519,0.602,"{0, 15},{7},{0, 13, 15},{3, 13},{0, 13, 7},{3},{3, 7},{3, 7},{3, 7},{5, 7},{0, 16, 13, 7},{13, 7},{3, 7},{7},{3, 13},{12, 15},{15, 7},{7},{11, 2, 3},{13, 7}","{3, 13},{11, 3, 13},{3, 13, 7},{3, 14},{3, 13},{3, 13},{3, 13},{0, 1, 3, 13},{16, 3},{3, 13},{1, 3, 7},{0, 11, 3},{3},{3, 13},{3, 13},{3, 13},{3, 5},{3},{3, 7},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.405,0.59,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sat, 04 Jan 2025 15:42:49"
14,{0},8192,10,0.5,targeted,nan,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,918,145,332,1156,623,523",nan,1.0,nan,nan,87.918,96.094,87.048,3.373,2.897,"{0, 13, 7}","{3, 13}",1.0,1.0,"{0, 13, 7},{13, 7},{14, 7},{0, 16, 13, 7},{7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7}","{0},{0},{0},{0},{0}",0.641,0.788,"{0, 13, 7},{13, 7},{14, 7},{0, 16, 13, 7},{7},{0, 13, 15},{13, 15, 5, 7},{10, 15},{3},{2, 3}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.513,0.676,"{0, 13, 7},{13, 7},{14, 7},{0, 16, 13, 7},{7},{0, 13, 15},{13, 15, 5, 7},{10, 15},{3},{2, 3},{3},{0, 1, 5},{3, 14},{13, 7},{7},{16, 13, 7},{3, 13},{16, 3},{1, 14},{3}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7},{0, 13, 15},{0, 16, 13, 7},{3, 7},{13, 7},{3},{3},{0, 1},{7},{7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.412,0.577,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sun, 05 Jan 2025 01:31:35"
14,{0},4096,10,0.7,targeted,nan,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,512",nan,1.0,nan,nan,42.985,96.191,90.698,3.348,2.863,"{0, 13, 7}","{3, 13}",1.0,1.0,"{0, 13, 7},{7},{0, 13, 15},{3, 12},{3}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7}","{0},{0},{0},{0},{0}",0.705,0.689,"{0, 13, 7},{7},{0, 13, 15},{3, 12},{3},{3, 13, 7},{0, 16, 13, 7},{1, 3},{3},{13, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.567,0.745,"{0, 13, 7},{7},{0, 13, 15},{3, 12},{3},{3, 13, 7},{0, 16, 13, 7},{1, 3},{3},{13, 7},{12, 15},{3, 13},{3},{11, 2, 3},{14, 7},{13, 7},{3},{0, 12, 13, 15},{10, 15},{3}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7},{0, 13, 15},{0, 16, 13, 7},{3, 7},{13, 7},{3},{3},{0, 1},{7},{7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.443,0.614,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Tue, 07 Jan 2025 02:16:38"
14,{0},2048,10,0.7,targeted,nan,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,239,523",nan,1.0,nan,nan,21.075,95.361,89.111,3.409,2.773,"{0, 13, 15}","{3, 13}",1.0,1.0,"{0, 13, 15},{3, 13},{13, 7},{3},{0, 13, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7}","{0},{0},{0},{0},{0}",0.607,1.0,"{0, 13, 15},{3, 13},{13, 7},{3},{0, 13, 7},{13, 7},{3},{3},{14, 7},{3, 13}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.443,0.682,"{0, 13, 15},{3, 13},{13, 7},{3},{0, 13, 7},{13, 7},{3},{3},{14, 7},{3, 13},{3, 13},{13, 7},{3},{0, 16, 13, 7},{13, 7},{10, 15},{3},{11, 2, 3},{7},{5, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7},{0, 13, 15},{0, 16, 13, 7},{3, 7},{13, 7},{3},{3},{0, 1},{7},{7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.36,0.672,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Mon, 06 Jan 2025 18:58:54"
14,{0},2048,10,0.5,targeted,nan,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523","292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,239,523",nan,1.0,nan,nan,20.783,95.361,89.111,3.409,2.773,"{0, 13, 15}","{3, 13}",1.0,1.0,"{0, 13, 15},{3, 13},{13, 7},{3},{0, 13, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7}","{0},{0},{0},{0},{0}",0.607,1.0,"{0, 13, 15},{3, 13},{13, 7},{3},{0, 13, 7},{13, 7},{3},{3},{14, 7},{3, 13}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.443,0.682,"{0, 13, 15},{3, 13},{13, 7},{3},{0, 13, 7},{13, 7},{3},{3},{14, 7},{3, 13},{3, 13},{13, 7},{3},{0, 16, 13, 7},{13, 7},{10, 15},{3},{11, 2, 3},{7},{5, 7}","{3, 13},{3, 13},{13, 7},{3},{0, 13, 7},{3},{13, 7},{13, 7},{3, 13},{14, 7},{0, 13, 15},{0, 16, 13, 7},{3, 7},{13, 7},{3},{3},{0, 1},{7},{7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.36,0.672,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sat, 04 Jan 2025 15:42:49"
129,{0},8192,10,0.5,targeted,nan,"290,492,1,96,503,113,201,278,507,600,32,57,25,181,404,59,87,358,149,210,69,513,134,372,696,104,645,1160,50,142,614,303,60,11,74,18,125","290,792,1,96,503,113,201,278,507,600,32,57,25,181,404,59,87,358,149,210,69,513,134,372,696,104,645,1160,50,142,614,303,60,11,74,18,125",nan,1.0,nan,nan,81.691,87.476,82.361,2.533,2.478,"{0, 1, 12}","{0, 1, 12}",1.0,1.0,"{0, 1, 12},{3, 13},{0, 16, 14},{3},{0, 16, 3, 14}","{0, 1, 12},{3, 13},{0, 16, 14},{3},{1, 3}","{0},{0},{0},{0},{0}",0.781,1.0,"{0, 1, 12},{3, 13},{0, 16, 14},{3},{0, 16, 3, 14},{3},{0, 1, 15},{1, 3},{2, 3},{3}","{0, 1, 12},{3, 13},{0, 16, 14},{3},{1, 3},{3, 13},{3},{0, 1, 15},{0, 15},{0, 16, 3, 14}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.664,0.868,"{0, 1, 12},{3, 13},{0, 16, 14},{3},{0, 16, 3, 14},{3},{0, 1, 15},{1, 3},{2, 3},{3},{0, 15},{3, 13},{13, 7},{0, 1, 15},{3, 5},{0, 1, 3, 14},{3},{3, 13},{13, 7},{11, 2, 3}","{0, 1, 12},{3, 13},{0, 16, 14},{3},{1, 3},{3, 13},{3},{0, 1, 15},{0, 15},{0, 16, 3, 14},{3},{0, 1, 15},{3, 5},{3},{13, 7},{3, 13},{3, 13},{0, 1, 3, 14},{2, 3},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.572,0.687,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sun, 05 Jan 2025 17:53:21"
95,{0},8192,10,0.5,targeted,nan,"290,73,61,118,50,141,503,25,168,142,241,741,889,562,726,658,69,624,572,54,263,190,119,461,368,222,330,167,1120,180,296,217,735,248,439","290,73,61,118,50,141,503,72,168,142,241,741,889,562,726,658,69,624,572,54,263,190,119,461,368,222,330,167,1120,180,296,217,735,248,439",nan,1.0,nan,nan,77.961,95.02,86.963,4.024,2.24,"{0, 11, 3}","{0, 11, 3}",1.0,1.0,"{0, 11, 3},{3, 14},{3},{3},{11, 3, 7}","{0, 11, 3},{3, 14},{3},{3},{11, 3, 7}","{0},{0},{0},{0},{0}",0.472,1.0,"{0, 11, 3},{3, 14},{3},{3},{11, 3, 7},{3},{3},{3, 13},{3, 5},{0, 3, 7}","{0, 11, 3},{3, 14},{3},{3},{11, 3, 7},{3},{3, 13},{3},{3, 5},{0, 3, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.423,1.0,"{0, 11, 3},{3, 14},{3},{3},{11, 3, 7},{3},{3},{3, 13},{3, 5},{0, 3, 7},{3, 13},{3},{3, 13},{3},{3, 13, 7},{0, 1},{10, 3},{1, 3, 7},{3, 7},{3, 13}","{0, 11, 3},{3, 14},{3},{3},{11, 3, 7},{3},{3, 13},{3},{3, 5},{0, 3, 7},{3, 13},{3},{3, 13},{0, 1},{3, 13, 7},{3},{1, 3, 7},{10, 3},{3, 13},{3, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.309,0.933,True,BERT4Rec,ml-100k,False,0,0.50,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,"Sun, 05 Jan 2025 01:31:35"
