i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
86,genetic,None,"424,582,97,368,35,322,550,338,89,924,432,367,558,1024,357,631,492,354,289,433,180,34,16,222,671,292,823,448,557,587,208,551,304,343,529,364,446,182,835,608,679,1049,657,174,56,435,283,818,1057,487","424,582,97,368,35,322,550,338,89,924,432,367,558,1024,357,631,492,354,289,433,180,34,16,222,671,292,823,448,557,587,208,551,304,343,529,364,446,182,835,608,867,1049,657,174,56,435,283,818,1057,487",None,1,None,None,190.69,None,None,None,None,363,1681,None,0,None,"363,1048,1241,765,1681","1681,363,1048,1241,765",None,0.398,None,"363,1048,1241,765,1681,975,818,469,579,679","1681,363,1048,1241,765,975,214,515,283,579",None,0.369,None,"363,1048,1241,765,1681,975,818,469,579,679,206,837,984,329,515,214,283,706,718,645","1681,363,1048,1241,765,975,214,515,283,579,837,818,469,645,206,706,56,582,984,1258",None,0.314,None,"(None, 10, 0)",None,None,"424,582,97,368,35,322,550,338,89,924,432,367,558,1024,357,631,492,354,289,433,180,34,16,222,671,292,823,448,557,587,208,551,304,343,529,364,446,182,835,608,679,1049,657,174,56,435,283,818,1057,487","424,582,97,368,35,322,550,338,89,924,432,367,558,1024,357,631,492,354,289,433,180,34,16,222,671,292,823,448,557,587,208,551,304,343,529,364,446,182,835,608,679,1049,657,174,56,435,283,818,1057,45","sync_424,sync_582,sync_97,sync_368,sync_35,sync_322,sync_550,sync_338,sync_89,sync_924,sync_432,sync_367,sync_558,sync_1024,sync_357,sync_631,sync_492,sync_354,sync_289,sync_433,sync_180,sync_34,sync_16,sync_222,sync_671,sync_292,sync_823,sync_448,sync_557,sync_587,sync_208,sync_551,sync_304,sync_343,sync_529,sync_364,sync_446,sync_182,sync_835,sync_608,sync_679,sync_1049,sync_657,sync_174,sync_56,sync_435,sync_283,sync_818,sync_1057,add_45,del_487",1,None,None,None,101.338,None,522,1681,None,0,"522,582,389,870,36","1681,363,1048,1241,765",None,0.0,"522,582,389,870,36,894,206,324,217,395","1681,363,1048,1241,765,975,214,515,283,579",None,0.0,"522,582,389,870,36,894,206,324,217,395,151,37,468,657,561,157,56,32,114,363","1681,363,1048,1241,765,975,214,515,283,579,837,818,469,645,206,706,56,582,984,1258",None,0.045,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
87,genetic,None,"73,492,569,290,2,140,361,61,96,864,1003,332,252,816,275,900,460,732,683","73,492,569,290,2,140,361,61,96,864,1003,332,252,864,275,900,460,732,683",None,1,None,None,157.759,None,None,None,None,696,1098,None,0,None,"696,78,356,401,50","1098,78,299,50,401",None,0.353,None,"696,78,356,401,50,1098,25,358,299,53","1098,78,299,50,401,696,53,25,358,141",None,0.38,None,"696,78,356,401,50,1098,25,358,299,53,141,1470,205,503,190,404,13,513,874,181","1098,78,299,50,401,696,53,25,358,141,356,152,205,13,121,90,178,601,503,513",None,0.333,None,"(None, 10, 0)",None,None,"73,492,569,290,2,140,361,61,96,864,1003,332,252,816,275,900,460,732,683","73,492,569,290,2,140,361,61,96,864,1003,332,252,816,275,900,460,732,683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_73,sync_492,sync_569,sync_290,sync_2,sync_140,sync_361,sync_61,sync_96,sync_864,sync_1003,sync_332,sync_252,sync_816,sync_275,sync_900,sync_460,sync_732,sync_683",0,None,None,None,35.967,None,1098,1098,None,1,"1098,78,299,50,401","1098,78,299,50,401",None,1.0,"1098,78,299,50,401,696,53,25,358,141","1098,78,299,50,401,696,53,25,358,141",None,1.0,"1098,78,299,50,401,696,53,25,358,141,356,152,205,13,121,90,178,601,503,513","1098,78,299,50,401,696,53,25,358,141,356,152,205,13,121,90,178,601,503,513",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
88,genetic,None,"78,96,87,132,850,179,34,258,367,144,719,448,311,671,436,725,634,309,779,125,277,178,1068,1020,90,84,18,9,292,361,69,60,648,26","78,96,87,132,850,179,34,248,367,144,719,448,311,671,436,725,634,309,779,125,277,178,1068,1020,90,84,18,9,292,361,69,60,648,26",None,1,None,None,174.779,None,None,None,None,25,407,None,0,None,"25,69,407,90,648","407,69,90,25,553",None,0.448,None,"25,69,407,90,648,553,104,84,366,174","407,69,90,25,553,349,84,1137,174,436",None,0.403,None,"25,69,407,90,648,553,104,84,366,174,358,190,178,444,121,78,349,436,1137,578","407,69,90,25,553,349,84,1137,174,436,648,336,578,178,444,104,121,125,388,720",None,0.334,None,"(None, 10, 0)",None,None,"78,96,87,132,850,179,34,258,367,144,719,448,311,671,436,725,634,309,779,125,277,178,1068,1020,90,84,18,9,292,361,69,60,648,26","78,96,87,132,850,179,34,258,367,144,719,448,311,671,436,725,634,309,779,125,277,178,1068,1020,90,84,18,9,292,361,69,60,648,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_78,sync_96,sync_87,sync_132,sync_850,sync_179,sync_34,sync_258,sync_367,sync_144,sync_719,sync_448,sync_311,sync_671,sync_436,sync_725,sync_634,sync_309,sync_779,sync_125,sync_277,sync_178,sync_1068,sync_1020,sync_90,sync_84,sync_18,sync_9,sync_292,sync_361,sync_69,sync_60,sync_648,sync_26",0,None,None,None,16.629,None,407,407,None,1,"407,69,90,25,553","407,69,90,25,553",None,1.0,"407,69,90,25,553,349,84,1137,174,436","407,69,90,25,553,349,84,1137,174,436",None,1.0,"407,69,90,25,553,349,84,1137,174,436,648,336,578,178,444,104,121,125,388,720","407,69,90,25,553,349,84,1137,174,436,648,336,578,178,444,104,121,125,388,720",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
89,genetic,None,"662,358,1529,190,50,210,87,696,243,149,372,134,356,132,26,351,417,511,32,200,257,368,539,109,226,334,708,1347,503,217,572,274,288,104,182,1128,138,695,100,95,146,575,921,119,261,241,6,712,1095,214","662,358,1529,190,50,210,87,696,243,149,372,134,356,132,26,351,417,511,32,200,257,368,539,109,226,334,708,1347,503,217,572,274,288,104,182,1128,138,695,100,95,146,575,921,219,261,241,6,712,1095,214",None,1,None,None,190.494,None,None,None,None,59,572,None,0,None,"59,572,217,731,140","572,59,217,731,140",None,0.723,None,"59,572,217,731,140,261,190,101,658,312","572,59,217,731,140,261,190,658,101,889",None,0.689,None,"59,572,217,731,140,261,190,101,658,312,35,889,263,623,357,240,157,30,32,78","572,59,217,731,140,261,190,658,101,889,35,312,357,240,263,623,493,575,501,93",None,0.559,None,"(None, 10, 0)",None,None,"662,358,1529,190,50,210,87,696,243,149,372,134,356,132,26,351,417,511,32,200,257,368,539,109,226,334,708,1347,503,217,572,274,288,104,182,1128,138,695,100,95,146,575,921,119,261,241,6,712,1095,214","662,358,1529,190,50,210,87,696,243,149,372,134,356,132,26,351,417,511,32,200,257,368,539,109,226,334,708,1347,503,217,572,274,288,104,182,1128,138,695,100,95,146,575,921,119,261,241,6,712,1095,64","sync_662,sync_358,sync_1529,sync_190,sync_50,sync_210,sync_87,sync_696,sync_243,sync_149,sync_372,sync_134,sync_356,sync_132,sync_26,sync_351,sync_417,sync_511,sync_32,sync_200,sync_257,sync_368,sync_539,sync_109,sync_226,sync_334,sync_708,sync_1347,sync_503,sync_217,sync_572,sync_274,sync_288,sync_104,sync_182,sync_1128,sync_138,sync_695,sync_100,sync_95,sync_146,sync_575,sync_921,sync_119,sync_261,sync_241,sync_6,sync_712,sync_1095,add_64,del_214",1,None,None,None,108.649,None,60,572,None,0,"60,92,734,1314,217","572,59,217,731,140",None,0.057,"60,92,734,1314,217,1128,921,59,78,401","572,59,217,731,140,261,190,658,101,889",None,0.057,"60,92,734,1314,217,1128,921,59,78,401,737,1077,709,104,140,236,101,126,68,100","572,59,217,731,140,261,190,658,101,889,35,312,357,240,263,623,493,575,501,93",None,0.046,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
90,genetic,None,"424,7,325,391,54,797,367,432,119,1017,254,227,463,445,48,43,592,896,321,779,557,726,352,293,505,220,257,974,415,749,157,527,684,34,285,436,14,160,250,1093,66,457,148,533,946,357,831,574,33,1246","424,7,325,391,54,797,367,432,211,1017,254,227,463,445,48,43,592,896,321,779,557,726,352,293,505,220,257,974,415,749,157,527,684,34,285,436,14,160,250,1093,66,457,148,533,946,357,831,574,33,1246",None,1,None,None,191.249,None,None,None,None,505,77,None,0,None,"505,77,590,254,194","77,505,254,590,533",None,0.434,None,"505,77,590,254,194,533,459,901,592,124","77,505,254,590,533,901,459,759,147,711",None,0.424,None,"505,77,590,254,194,533,459,901,592,124,66,9,147,212,759,581,608,711,250,475","77,505,254,590,533,901,459,759,147,711,581,194,9,574,592,212,475,297,66,605",None,0.351,None,"(None, 10, 0)",None,None,"424,7,325,391,54,797,367,432,119,1017,254,227,463,445,48,43,592,896,321,779,557,726,352,293,505,220,257,974,415,749,157,527,684,34,285,436,14,160,250,1093,66,457,148,533,946,357,831,574,33,1246","424,7,325,391,54,797,367,432,119,1017,254,227,463,445,48,43,592,896,321,779,557,726,352,293,505,220,257,974,415,749,157,527,684,34,285,436,14,160,250,1093,66,457,148,533,946,357,831,574,33,74","sync_424,sync_7,sync_325,sync_391,sync_54,sync_797,sync_367,sync_432,sync_119,sync_1017,sync_254,sync_227,sync_463,sync_445,sync_48,sync_43,sync_592,sync_896,sync_321,sync_779,sync_557,sync_726,sync_352,sync_293,sync_505,sync_220,sync_257,sync_974,sync_415,sync_749,sync_157,sync_527,sync_684,sync_34,sync_285,sync_436,sync_14,sync_160,sync_250,sync_1093,sync_66,sync_457,sync_148,sync_533,sync_946,sync_357,sync_831,sync_574,sync_33,add_74,del_1246",1,None,None,None,113.559,None,77,77,None,1,"77,254,560,533,1071","77,505,254,590,533",None,0.49,"77,254,560,533,1071,759,459,505,475,13","77,505,254,590,533,901,459,759,147,711",None,0.434,"77,254,560,533,1071,759,459,505,475,13,80,7,818,194,124,297,376,76,608,1057","77,505,254,590,533,901,459,759,147,711,581,194,9,574,592,212,475,297,66,605",None,0.308,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
91,genetic,None,"562,92,67,175,6,940,226,100,695,101,602,437,162,89,497,217,155,240,950,362,584,368,126,248,308,489,35,322,330,504,432,731,201,274,1098,241,231,600,634,106,57,58,545,472,102,136,233,321,134,69","562,92,67,175,6,940,226,100,695,101,602,437,162,89,497,217,155,240,950,362,584,368,126,248,308,489,35,322,330,504,432,731,215,274,1098,241,231,600,634,106,57,58,545,472,102,136,233,321,134,69",None,1,None,None,191.878,None,None,None,None,141,104,None,0,None,"141,104,232,53,303","104,53,232,141,303",None,0.578,None,"141,104,232,53,303,404,210,181,1254,50","104,53,232,141,303,101,404,13,255,50",None,0.476,None,"141,104,232,53,303,404,210,181,1254,50,341,255,189,11,308,97,25,13,101,222","104,53,232,141,303,101,404,13,255,50,503,341,210,8,25,18,553,11,358,531",None,0.368,None,"(None, 10, 0)",None,None,"562,92,67,175,6,940,226,100,695,101,602,437,162,89,497,217,155,240,950,362,584,368,126,248,308,489,35,322,330,504,432,731,201,274,1098,241,231,600,634,106,57,58,545,472,102,136,233,321,134,69","562,92,67,175,6,940,226,100,695,101,602,437,162,89,497,217,155,240,950,362,584,368,126,248,308,489,35,322,330,504,432,731,201,274,1098,241,231,600,634,106,57,58,545,472,102,136,233,321,134,2","sync_562,sync_92,sync_67,sync_175,sync_6,sync_940,sync_226,sync_100,sync_695,sync_101,sync_602,sync_437,sync_162,sync_89,sync_497,sync_217,sync_155,sync_240,sync_950,sync_362,sync_584,sync_368,sync_126,sync_248,sync_308,sync_489,sync_35,sync_322,sync_330,sync_504,sync_432,sync_731,sync_201,sync_274,sync_1098,sync_241,sync_231,sync_600,sync_634,sync_106,sync_57,sync_58,sync_545,sync_472,sync_102,sync_136,sync_233,sync_321,sync_134,add_2,del_69",1,None,None,None,94.344,None,720,104,None,0,"720,752,2,262,281","104,53,232,141,303",None,0.0,"720,752,2,262,281,140,158,290,512,492","104,53,232,141,303,101,404,13,255,50",None,0.0,"720,752,2,262,281,140,158,290,512,492,95,61,167,321,270,190,131,653,472,405","104,53,232,141,303,101,404,13,255,50,503,341,210,8,25,18,553,11,358,531",None,0.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
92,genetic,None,"96,405,332,609,900,99,31,223,69,154,306,1085,1035,649,358,50,535,632,141,64,134,84,11,178,970,862,210,25,53,90,531,447,243,502,356,87,414,782,26,645,648,365,341,771,268,24,104,13,214,861","96,605,332,609,900,99,31,223,69,154,306,1085,1035,649,358,50,535,632,141,64,134,84,11,178,970,862,210,25,53,90,531,447,243,502,356,87,414,782,26,645,648,365,341,771,268,24,104,13,214,861",None,1,None,None,190.878,None,None,None,None,936,771,None,0,None,"936,88,351,383,771","771,137,176,648,365",None,0.068,None,"936,88,351,383,771,137,176,279,1195,306","771,137,176,648,365,407,282,404,578,453",None,0.094,None,"936,88,351,383,771,137,176,279,1195,306,841,934,407,74,648,365,12,341,453,782","771,137,176,648,365,407,282,404,578,453,351,677,88,1195,1260,279,96,553,118,69",None,0.098,None,"(None, 10, 0)",None,None,"96,405,332,609,900,99,31,223,69,154,306,1085,1035,649,358,50,535,632,141,64,134,84,11,178,970,862,210,25,53,90,531,447,243,502,356,87,414,782,26,645,648,365,341,771,268,24,104,13,214,861","96,405,332,609,900,99,31,223,69,154,306,1085,1035,649,358,50,535,632,141,64,134,84,11,178,970,862,210,25,53,90,531,447,243,502,356,87,414,782,26,645,648,365,341,771,268,24,104,13,214,115","sync_96,sync_405,sync_332,sync_609,sync_900,sync_99,sync_31,sync_223,sync_69,sync_154,sync_306,sync_1085,sync_1035,sync_649,sync_358,sync_50,sync_535,sync_632,sync_141,sync_64,sync_134,sync_84,sync_11,sync_178,sync_970,sync_862,sync_210,sync_25,sync_53,sync_90,sync_531,sync_447,sync_243,sync_502,sync_356,sync_87,sync_414,sync_782,sync_26,sync_645,sync_648,sync_365,sync_341,sync_771,sync_268,sync_24,sync_104,sync_13,sync_214,add_115,del_861",1,None,None,None,79.994,None,412,771,None,0,"412,39,293,217,264","771,137,176,648,365",None,0.0,"412,39,293,217,264,88,796,196,175,664","771,137,176,648,365,407,282,404,578,453",None,0.0,"412,39,293,217,264,88,796,196,175,664,278,201,221,409,32,298,241,255,185,653","771,137,176,648,365,407,282,404,578,453,351,677,88,1195,1260,279,96,553,118,69",None,0.005,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
93,genetic,None,"85,591,125,279,1181,193,530,683,294,83,821,448,337,473,446,529,325,589,633,759,14,143,711,80,311,227,527,710,16,4,708,349,782,468,435,132,657,234,1211,511,465,416,690,720,2,492,185,555,874,631","85,511,125,279,1181,193,530,683,294,83,821,448,337,473,446,529,325,589,633,759,14,143,711,80,311,227,527,710,16,4,708,349,782,468,435,132,657,234,1211,511,465,416,690,720,2,492,185,555,874,631",None,1,None,None,186.602,None,None,None,None,11,649,None,0,None,"11,649,190,358,874","649,11,253,453,874",None,0.408,None,"11,649,190,358,874,253,428,453,290,260","649,11,253,453,874,290,428,260,358,190",None,0.446,None,"11,649,190,358,874,253,428,453,290,260,1167,306,677,26,553,523,25,154,185,503","649,11,253,453,874,290,428,260,358,190,185,553,25,523,720,1167,154,696,61,306",None,0.348,None,"(None, 10, 0)",None,None,"85,591,125,279,1181,193,530,683,294,83,821,448,337,473,446,529,325,589,633,759,14,143,711,80,311,227,527,710,16,4,708,349,782,468,435,132,657,234,1211,511,465,416,690,720,2,492,185,555,874,631","85,591,125,279,1181,193,530,683,294,83,821,448,337,473,446,529,325,589,633,759,14,143,711,80,311,227,527,710,16,4,708,349,782,468,435,132,657,234,1211,511,465,416,690,720,2,492,185,555,874,49","sync_85,sync_591,sync_125,sync_279,sync_1181,sync_193,sync_530,sync_683,sync_294,sync_83,sync_821,sync_448,sync_337,sync_473,sync_446,sync_529,sync_325,sync_589,sync_633,sync_759,sync_14,sync_143,sync_711,sync_80,sync_311,sync_227,sync_527,sync_710,sync_16,sync_4,sync_708,sync_349,sync_782,sync_468,sync_435,sync_132,sync_657,sync_234,sync_1211,sync_511,sync_465,sync_416,sync_690,sync_720,sync_2,sync_492,sync_185,sync_555,sync_874,add_49,del_631",1,None,None,None,79.29,None,326,649,None,0,"326,492,11,190,185","649,11,253,453,874",None,0.107,"326,492,11,190,185,290,631,83,1043,116","649,11,253,453,874,290,428,260,358,190",None,0.157,"326,492,11,190,185,290,631,83,1043,116,61,428,178,358,405,424,453,12,88,140","649,11,253,453,874,290,428,260,358,190,185,553,25,523,720,1167,154,696,61,306",None,0.13,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
94,genetic,None,"686,25,1043,1282,262,253,192,270,720,882,835,230,202,234,605,1055,148,1102,1024,7,115,699,220,81,158,210,608,157,772,227,409,201,178,356,550,1238,209,298,232,614,58,368,1349,279,779,472,162,364,530,294","686,25,1043,1282,262,253,192,270,720,882,835,230,202,234,605,1055,148,1102,1024,7,115,699,220,81,158,210,608,157,772,227,409,201,178,356,550,1238,209,298,232,614,58,368,1349,279,779,472,162,464,530,294",None,1,None,None,186.068,None,None,None,None,208,529,None,0,None,"208,367,529,199,364","529,199,364,337,208",None,0.267,None,"208,367,529,199,364,115,475,1100,432,136","529,199,364,337,208,156,367,137,297,115",None,0.198,None,"208,367,529,199,364,115,475,1100,432,136,103,337,315,426,424,1050,202,156,137,7","529,199,364,337,208,156,367,137,297,115,530,397,268,615,797,310,710,432,212,103",None,0.149,None,"(None, 10, 0)",None,None,"686,25,1043,1282,262,253,192,270,720,882,835,230,202,234,605,1055,148,1102,1024,7,115,699,220,81,158,210,608,157,772,227,409,201,178,356,550,1238,209,298,232,614,58,368,1349,279,779,472,162,364,530,294","686,25,1043,1282,262,253,192,270,720,882,835,230,202,234,605,1055,148,1102,1024,7,115,699,220,81,158,210,608,157,772,227,409,201,178,356,550,1238,209,298,232,614,58,368,1349,279,779,472,162,364,530,1534","sync_686,sync_25,sync_1043,sync_1282,sync_262,sync_253,sync_192,sync_270,sync_720,sync_882,sync_835,sync_230,sync_202,sync_234,sync_605,sync_1055,sync_148,sync_1102,sync_1024,sync_7,sync_115,sync_699,sync_220,sync_81,sync_158,sync_210,sync_608,sync_157,sync_772,sync_227,sync_409,sync_201,sync_178,sync_356,sync_550,sync_1238,sync_209,sync_298,sync_232,sync_614,sync_58,sync_368,sync_1349,sync_279,sync_779,sync_472,sync_162,sync_364,sync_530,add_1534,del_294",1,None,None,None,81.755,None,902,529,None,0,"902,527,28,364,481","529,199,364,337,208",None,0.085,"902,527,28,364,481,227,62,710,83,237","529,199,364,337,208,156,367,137,297,115",None,0.055,"902,527,28,364,481,227,62,710,83,237,108,1545,529,878,148,946,74,162,528,544","529,199,364,337,208,156,367,137,297,115,530,397,268,615,797,310,710,432,212,103",None,0.05,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
95,genetic,None,"290,73,61,118,50,141,503,25,168,142,241,741,889,562,726,658,69,624,572,54,263,190,119,461,368,222,330,167,1120,180,296,217,735,248,439","290,73,61,118,50,141,503,25,168,142,241,741,889,562,726,658,69,624,572,54,263,190,119,461,368,222,330,167,1120,180,296,217,758,248,439",None,1,None,None,177.254,None,None,None,None,34,480,None,0,None,"34,480,222,248,330","480,222,330,97,180",None,0.333,None,"34,480,222,248,330,84,180,308,35,338","480,222,330,97,180,348,390,308,338,248",None,0.356,None,"34,480,222,248,330,84,180,308,35,338,268,322,292,9,167,89,227,94,277,16","480,222,330,97,180,348,390,308,338,248,35,562,94,167,89,623,48,535,735,90",None,0.285,None,"(None, 10, 0)",None,None,"290,73,61,118,50,141,503,25,168,142,241,741,889,562,726,658,69,624,572,54,263,190,119,461,368,222,330,167,1120,180,296,217,735,248,439","290,73,61,118,50,141,503,25,168,142,241,741,889,562,726,658,69,624,572,54,263,190,119,461,368,222,330,167,1120,180,296,217,735,248,198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_73,sync_61,sync_118,sync_50,sync_141,sync_503,sync_25,sync_168,sync_142,sync_241,sync_741,sync_889,sync_562,sync_726,sync_658,sync_69,sync_624,sync_572,sync_54,sync_263,sync_190,sync_119,sync_461,sync_368,sync_222,sync_330,sync_167,sync_1120,sync_180,sync_296,sync_217,sync_735,sync_248,add_198,del_439",1,None,None,None,102.182,None,180,480,None,0,"180,480,343,248,338","480,222,330,97,180",None,0.196,"180,480,343,248,338,330,97,50,735,84","480,222,330,97,180,348,390,308,338,248",None,0.201,"180,480,343,248,338,330,97,50,735,84,87,433,348,167,48,439,368,623,222,535","480,222,330,97,180,348,390,308,338,248,35,562,94,167,89,623,48,535,735,90",None,0.214,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
96,genetic,None,"119,261,274,438,257,312,217,30,362,32,45,514,1006,155,395,114,315,494,887,212,339,62,656,1041,778,143,679,528,603,1263,605,169,884,1074,124,833,1245,653,586,1104,609,374,117,35,1098,618,281,210,772,635","119,261,274,438,257,312,217,30,362,32,45,514,1006,155,395,114,315,494,887,212,339,62,656,1041,778,143,679,528,603,1263,605,169,884,1074,124,833,1245,653,586,1104,609,374,117,35,1094,618,281,210,772,635",None,1,None,None,188.772,None,None,None,None,314,859,None,0,None,"314,859,298,368,1268","859,168,879,339,972",None,0.17,None,"314,859,298,368,1268,162,879,514,853,507","859,168,879,339,972,132,777,853,314,151",None,0.174,None,"314,859,298,368,1268,162,879,514,853,507,613,187,322,510,240,352,972,222,339,210","859,168,879,339,972,132,777,853,314,151,368,315,532,465,772,298,556,187,322,514",None,0.14,None,"(None, 10, 0)",None,None,"119,261,274,438,257,312,217,30,362,32,45,514,1006,155,395,114,315,494,887,212,339,62,656,1041,778,143,679,528,603,1263,605,169,884,1074,124,833,1245,653,586,1104,609,374,117,35,1098,618,281,210,772,635","119,261,274,438,257,312,217,30,362,32,45,514,1006,155,395,114,315,494,887,212,339,62,656,1041,778,143,679,528,603,1263,605,169,884,1074,124,833,1245,653,586,1104,609,374,117,35,1098,618,281,210,772,1530","sync_119,sync_261,sync_274,sync_438,sync_257,sync_312,sync_217,sync_30,sync_362,sync_32,sync_45,sync_514,sync_1006,sync_155,sync_395,sync_114,sync_315,sync_494,sync_887,sync_212,sync_339,sync_62,sync_656,sync_1041,sync_778,sync_143,sync_679,sync_528,sync_603,sync_1263,sync_605,sync_169,sync_884,sync_1074,sync_124,sync_833,sync_1245,sync_653,sync_586,sync_1104,sync_609,sync_374,sync_117,sync_35,sync_1098,sync_618,sync_281,sync_210,sync_772,add_1530,del_635",1,None,None,None,90.374,None,772,859,None,0,"772,859,368,210,414","859,168,879,339,972",None,0.17,"772,859,368,210,414,807,39,222,243,322","859,168,879,339,972,132,777,853,314,151",None,0.11,"772,859,368,210,414,807,39,222,243,322,61,535,677,268,158,371,96,159,864,6","859,168,879,339,972,132,777,853,314,151,368,315,532,465,772,298,556,187,322,514",None,0.081,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
