i,split,status,source,aligned,alignment,cost,gt,aligned_gt,score,dataset_time,align_time,automata_learning_time,use_cache,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,jaccard_threshold,timestamp,mut_prob,crossover_prob
10,"(None, 10, 5)",bad,"645,739,620,969,642,1260,865,631,87,2020,99,556,1076,763,565,134,108,1185,1210,1997,1104,1727,1134,1725,1243,1979,1096,1064,1054,935,1095,613,721,583,643,20,559,574,843,1038,623,679,674,742,569,657,1084,188,1342,1067","645,739,620,969,642,1260,865,631,87,2020,99,556,1076,763,565,134,108,1185,1210,1997,1104,1727,1134,1725,1243,1979,1096,1064,1054,935,1095,613,721,583,643,3198,20,559,574,843,1038,623,679,674,742,657,1084,188,1342,1067","sync_645,sync_739,sync_620,sync_969,sync_642,sync_1260,sync_865,sync_631,sync_87,sync_2020,sync_99,sync_556,sync_1076,sync_763,sync_565,sync_134,sync_108,sync_1185,sync_1210,sync_1997,sync_1104,sync_1727,sync_1134,sync_1725,sync_1243,sync_1979,sync_1096,sync_1064,sync_1054,sync_935,sync_1095,sync_613,sync_721,sync_583,sync_643,add_3198,sync_20,sync_559,sync_574,sync_843,sync_1038,sync_623,sync_679,sync_674,sync_742,del_569,sync_657,sync_1084,sync_188,sync_1342,sync_1067",2,"[{0, 8, 3}, {0, 1, 8, 14}, {8, 1, 3}, {0, 8, 3}, {8, 1}]","[{0, 8, 3}, {8, 1, 3}, {0, 1, 8, 14}, {8, 1}, {0, 8, 3}]",0.925,181.983,82.757,1.515,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
11,"(None, 1, 0)",bad,"1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,898","1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,3155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_1272,sync_33,sync_65,sync_793,sync_42,sync_727,sync_400,sync_1349,sync_2042,sync_1463,sync_199,sync_1390,sync_1624,sync_1962,sync_375,sync_1235,sync_1248,sync_1398,sync_696,sync_1043,sync_2102,sync_1547,sync_257,sync_373,sync_980,sync_318,sync_39,sync_17,sync_1769,add_3155,del_898",1,"[{7}, {10, 13}, {3, 13}, {2, 3}, {3, 7}]","[{3, 7}, {7}, {2, 3}, {3}, {3, 13}]",0.787,165.286,0.541,1.775,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
11,"(None, 10, 0)",good,"1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,898","1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,1514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_1272,sync_33,sync_65,sync_793,sync_42,sync_727,sync_400,sync_1349,sync_2042,sync_1463,sync_199,sync_1390,sync_1624,sync_1962,sync_375,sync_1235,sync_1248,sync_1398,sync_696,sync_1043,sync_2102,sync_1547,sync_257,sync_373,sync_980,sync_318,sync_39,sync_17,sync_1769,add_1514,del_898",1,"[{7}, {10, 13}, {3, 13}, {2, 3}, {3, 7}]","[{11, 3}, {3, 7}, {2, 3}, {3}, {16, 3}]",0.682,165.286,50.433,1.536,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
11,"(None, 1, 5)",bad,"1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,898","1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,3428,318,39,17,1769,898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_1272,sync_33,sync_65,sync_793,sync_42,sync_727,sync_400,sync_1349,sync_2042,sync_1463,sync_199,sync_1390,sync_1624,sync_1962,sync_375,sync_1235,sync_1248,sync_1398,sync_696,sync_1043,sync_2102,sync_1547,sync_257,sync_373,add_3428,del_980,sync_318,sync_39,sync_17,sync_1769,sync_898",1,"[{7}, {10, 13}, {3, 13}, {2, 3}, {3, 7}]","[{7}, {3, 7}, {10, 13}, {3, 13}, {3}]",0.751,165.286,1.925,1.407,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
11,"(None, 5, 5)",bad,"1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,898","1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,3428,2102,1547,257,373,318,39,17,1769,898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_1272,sync_33,sync_65,sync_793,sync_42,sync_727,sync_400,sync_1349,sync_2042,sync_1463,sync_199,sync_1390,sync_1624,sync_1962,sync_375,sync_1235,sync_1248,sync_1398,sync_696,sync_1043,add_3428,sync_2102,sync_1547,sync_257,sync_373,del_980,sync_318,sync_39,sync_17,sync_1769,sync_898",2,"[{7}, {10, 13}, {3, 13}, {2, 3}, {3, 7}]","[{7}, {10, 13}, {3, 7}, {3, 13}, {2, 3}]",0.713,165.286,67.604,1.378,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
11,"(None, 10, 5)",bad,"1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,898","1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,3428,1235,1248,1398,696,1043,2102,1547,257,373,318,39,17,1769,898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_1272,sync_33,sync_65,sync_793,sync_42,sync_727,sync_400,sync_1349,sync_2042,sync_1463,sync_199,sync_1390,sync_1624,sync_1962,sync_375,add_3428,sync_1235,sync_1248,sync_1398,sync_696,sync_1043,sync_2102,sync_1547,sync_257,sync_373,del_980,sync_318,sync_39,sync_17,sync_1769,sync_898",2,"[{7}, {10, 13}, {3, 13}, {2, 3}, {3, 7}]","[{7}, {3, 7}, {10, 13}, {3, 13}, {2, 3}]",0.733,165.286,110.732,1.529,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
12,"(None, 1, 0)",bad,"45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,118","45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,17,-1,-1,-1,-1","sync_45,sync_189,sync_2439,sync_2192,sync_65,sync_66,sync_110,sync_2786,sync_426,sync_1073,sync_435,sync_670,sync_1666,sync_147,sync_1193,sync_2551,sync_679,sync_7,sync_214,sync_1844,sync_137,sync_140,sync_729,sync_210,sync_1110,sync_44,sync_474,sync_431,sync_301,sync_133,sync_715,sync_1155,sync_218,sync_187,sync_211,sync_256,sync_588,sync_123,sync_387,sync_433,sync_63,sync_79,sync_278,sync_1019,sync_196,add_17,del_118",1,"[{0, 15}, {0, 15}, {0, 13, 15}, {0, 15}, {0, 1, 5, 7}]","[{0, 1, 14}, {0, 1, 3, 14}, {0, 1, 3, 13}, {0, 1, 15}, {0, 15}]",0.861,178.198,1.619,2.163,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
12,"(None, 10, 0)",bad,"45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,118","45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,3297,196,118,-1,-1,-1,-1","sync_45,sync_189,sync_2439,sync_2192,sync_65,sync_66,sync_110,sync_2786,sync_426,sync_1073,sync_435,sync_670,sync_1666,sync_147,sync_1193,sync_2551,sync_679,sync_7,sync_214,sync_1844,sync_137,sync_140,sync_729,sync_210,sync_1110,sync_44,sync_474,sync_431,sync_301,sync_133,sync_715,sync_1155,sync_218,sync_187,sync_211,sync_256,sync_588,sync_123,sync_387,sync_433,sync_63,sync_79,sync_278,add_3297,del_1019,sync_196,sync_118",1,"[{0, 15}, {0, 15}, {0, 13, 15}, {0, 15}, {0, 1, 5, 7}]","[{0, 15}, {0, 13, 15}, {0, 14, 15}, {0, 15}, {0, 15}]",0.989,178.198,81.197,2.026,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
12,"(None, 1, 5)",bad,"45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,118","45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,2442,79,278,1019,196,118,-1,-1,-1,-1","sync_45,sync_189,sync_2439,sync_2192,sync_65,sync_66,sync_110,sync_2786,sync_426,sync_1073,sync_435,sync_670,sync_1666,sync_147,sync_1193,sync_2551,sync_679,sync_7,sync_214,sync_1844,sync_137,sync_140,sync_729,sync_210,sync_1110,sync_44,sync_474,sync_431,sync_301,sync_133,sync_715,sync_1155,sync_218,sync_187,sync_211,sync_256,sync_588,sync_123,sync_387,sync_433,add_2442,del_63,sync_79,sync_278,sync_1019,sync_196,sync_118",1,"[{0, 15}, {0, 15}, {0, 13, 15}, {0, 15}, {0, 1, 5, 7}]","[{0, 15}, {0, 15}, {0, 1, 3, 14}, {0, 13, 15}, {0, 14, 15}]",0.941,178.198,2.382,1.84,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
12,"(None, 5, 5)",bad,"45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,118","45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,3297,63,79,278,1019,196,118,-1,-1,-1,-1","sync_45,sync_189,sync_2439,sync_2192,sync_65,sync_66,sync_110,sync_2786,sync_426,sync_1073,sync_435,sync_670,sync_1666,sync_147,sync_1193,sync_2551,sync_679,sync_7,sync_214,sync_1844,sync_137,sync_140,sync_729,sync_210,sync_1110,sync_44,sync_474,sync_431,sync_301,sync_133,sync_715,sync_1155,sync_218,sync_187,sync_211,sync_256,sync_588,sync_123,sync_387,add_3297,del_433,sync_63,sync_79,sync_278,sync_1019,sync_196,sync_118",1,"[{0, 15}, {0, 15}, {0, 13, 15}, {0, 15}, {0, 1, 5, 7}]","[{0, 15}, {0, 15}, {0, 14, 15}, {0, 13, 15}, {0, 15}]",0.983,178.198,29.875,1.886,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
12,"(None, 10, 5)",bad,"45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,118","45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,3297,63,79,278,1019,196,118,-1,-1,-1,-1","sync_45,sync_189,sync_2439,sync_2192,sync_65,sync_66,sync_110,sync_2786,sync_426,sync_1073,sync_435,sync_670,sync_1666,sync_147,sync_1193,sync_2551,sync_679,sync_7,sync_214,sync_1844,sync_137,sync_140,sync_729,sync_210,sync_1110,sync_44,sync_474,sync_431,sync_301,sync_133,sync_715,sync_1155,sync_218,sync_187,sync_211,sync_256,sync_588,sync_123,sync_387,add_3297,del_433,sync_63,sync_79,sync_278,sync_1019,sync_196,sync_118",1,"[{0, 15}, {0, 15}, {0, 13, 15}, {0, 15}, {0, 1, 5, 7}]","[{0, 15}, {0, 15}, {0, 14, 15}, {0, 13, 15}, {0, 15}]",0.983,178.198,82.844,1.9,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
13,"(None, 1, 0)",good,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547","63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,1179","sync_63,sync_61,sync_114,sync_644,sync_1475,sync_27,sync_1005,sync_1004,sync_190,sync_1019,sync_323,sync_1006,sync_1018,sync_620,sync_604,sync_677,sync_768,sync_161,sync_513,sync_985,sync_1588,sync_725,sync_559,sync_865,sync_1711,sync_809,sync_2557,sync_1120,sync_645,sync_755,sync_87,sync_1249,sync_2556,sync_1076,sync_1210,sync_134,sync_1727,sync_168,sync_260,sync_435,sync_129,sync_796,sync_128,sync_277,sync_662,sync_106,sync_163,sync_55,sync_719,add_1179,del_547",1,"[{16, 7}, {7}, {0, 16, 7}, {0, 1, 7, 14, 16}, {7}]","[{10}, {10}, {10, 15}, {10}, {10, 15}]",0.0,176.927,1.138,1.569,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
13,"(None, 10, 0)",good,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547","63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,1179,547","sync_63,sync_61,sync_114,sync_644,sync_1475,sync_27,sync_1005,sync_1004,sync_190,sync_1019,sync_323,sync_1006,sync_1018,sync_620,sync_604,sync_677,sync_768,sync_161,sync_513,sync_985,sync_1588,sync_725,sync_559,sync_865,sync_1711,sync_809,sync_2557,sync_1120,sync_645,sync_755,sync_87,sync_1249,sync_2556,sync_1076,sync_1210,sync_134,sync_1727,sync_168,sync_260,sync_435,sync_129,sync_796,sync_128,sync_277,sync_662,sync_106,sync_163,sync_55,add_1179,del_719,sync_547",1,"[{16, 7}, {7}, {0, 16, 7}, {0, 1, 7, 14, 16}, {7}]","[{10}, {10}, {0, 1, 7, 14, 16}, {10, 15}, {0, 10}]",0.506,176.927,50.06,1.376,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
13,"(None, 1, 5)",bad,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547","63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,1179,106,163,55,719,547","sync_63,sync_61,sync_114,sync_644,sync_1475,sync_27,sync_1005,sync_1004,sync_190,sync_1019,sync_323,sync_1006,sync_1018,sync_620,sync_604,sync_677,sync_768,sync_161,sync_513,sync_985,sync_1588,sync_725,sync_559,sync_865,sync_1711,sync_809,sync_2557,sync_1120,sync_645,sync_755,sync_87,sync_1249,sync_2556,sync_1076,sync_1210,sync_134,sync_1727,sync_168,sync_260,sync_435,sync_129,sync_796,sync_128,sync_277,add_1179,del_662,sync_106,sync_163,sync_55,sync_719,sync_547",1,"[{16, 7}, {7}, {0, 16, 7}, {0, 1, 7, 14, 16}, {7}]","[{0, 1, 7, 14, 16}, {7}, {0, 1}, {16, 7}, {16, 7}]",0.948,176.927,1.007,1.35,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
13,"(None, 5, 5)",bad,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547","63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,1179,106,163,55,719,547","sync_63,sync_61,sync_114,sync_644,sync_1475,sync_27,sync_1005,sync_1004,sync_190,sync_1019,sync_323,sync_1006,sync_1018,sync_620,sync_604,sync_677,sync_768,sync_161,sync_513,sync_985,sync_1588,sync_725,sync_559,sync_865,sync_1711,sync_809,sync_2557,sync_1120,sync_645,sync_755,sync_87,sync_1249,sync_2556,sync_1076,sync_1210,sync_134,sync_1727,sync_168,sync_260,sync_435,sync_129,sync_796,sync_128,sync_277,add_1179,del_662,sync_106,sync_163,sync_55,sync_719,sync_547",1,"[{16, 7}, {7}, {0, 16, 7}, {0, 1, 7, 14, 16}, {7}]","[{0, 1, 7, 14, 16}, {7}, {0, 1}, {16, 7}, {16, 7}]",0.948,176.927,24.659,1.196,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
13,"(None, 10, 5)",bad,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547","63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,1179,662,106,163,55,719,547","sync_63,sync_61,sync_114,sync_644,sync_1475,sync_27,sync_1005,sync_1004,sync_190,sync_1019,sync_323,sync_1006,sync_1018,sync_620,sync_604,sync_677,sync_768,sync_161,sync_513,sync_985,sync_1588,sync_725,sync_559,sync_865,sync_1711,sync_809,sync_2557,sync_1120,sync_645,sync_755,sync_87,sync_1249,sync_2556,sync_1076,sync_1210,sync_134,sync_1727,sync_168,sync_260,sync_435,sync_129,sync_796,sync_128,add_1179,del_277,sync_662,sync_106,sync_163,sync_55,sync_719,sync_547",1,"[{16, 7}, {7}, {0, 16, 7}, {0, 1, 7, 14, 16}, {7}]","[{7}, {0, 1, 7, 14, 16}, {16, 7}, {16, 7}, {15, 7}]",0.905,176.927,60.618,1.343,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
14,"(None, 1, 0)",good,"578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,89,336","578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,89,3324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_578,sync_65,sync_28,sync_1432,sync_2079,sync_199,sync_1043,sync_1713,sync_80,sync_63,sync_265,sync_44,sync_152,sync_157,sync_1059,sync_133,sync_93,sync_49,sync_631,sync_433,sync_190,sync_134,sync_844,sync_79,sync_118,sync_105,sync_639,sync_1396,sync_51,sync_117,sync_90,sync_21,sync_402,sync_89,add_3324,del_336",1,"[{16, 3, 13}, {11, 2, 3}, {3, 13}, {3, 7}, {3, 13}]","[{0, 1, 14}, {0, 15}, {0, 14, 15}, {0, 1, 3, 14}, {0, 14}]",0.431,162.363,3.171,1.535,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
14,"(None, 10, 0)",good,"578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,89,336","578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,3324,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_578,sync_65,sync_28,sync_1432,sync_2079,sync_199,sync_1043,sync_1713,sync_80,sync_63,sync_265,sync_44,sync_152,sync_157,sync_1059,sync_133,sync_93,sync_49,sync_631,sync_433,sync_190,sync_134,sync_844,sync_79,sync_118,sync_105,sync_639,sync_1396,sync_51,sync_117,sync_90,sync_21,sync_402,add_3324,del_89,sync_336",1,"[{16, 3, 13}, {11, 2, 3}, {3, 13}, {3, 7}, {3, 13}]","[{0, 15}, {0, 15}, {0, 15}, {0, 1, 14}, {0, 1, 3, 14}]",0.387,162.363,63.989,1.353,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
14,"(None, 1, 5)",bad,"578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,89,336","578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,3324,90,21,402,89,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_578,sync_65,sync_28,sync_1432,sync_2079,sync_199,sync_1043,sync_1713,sync_80,sync_63,sync_265,sync_44,sync_152,sync_157,sync_1059,sync_133,sync_93,sync_49,sync_631,sync_433,sync_190,sync_134,sync_844,sync_79,sync_118,sync_105,sync_639,sync_1396,sync_51,add_3324,del_117,sync_90,sync_21,sync_402,sync_89,sync_336",1,"[{16, 3, 13}, {11, 2, 3}, {3, 13}, {3, 7}, {3, 13}]","[{16, 3, 13}, {3, 13}, {3}, {3, 5}, {0, 1, 3, 14}]",1.0,162.363,2.958,1.229,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
14,"(None, 5, 5)",bad,"578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,89,336","578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,3324,90,21,402,89,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_578,sync_65,sync_28,sync_1432,sync_2079,sync_199,sync_1043,sync_1713,sync_80,sync_63,sync_265,sync_44,sync_152,sync_157,sync_1059,sync_133,sync_93,sync_49,sync_631,sync_433,sync_190,sync_134,sync_844,sync_79,sync_118,sync_105,sync_639,sync_1396,sync_51,add_3324,del_117,sync_90,sync_21,sync_402,sync_89,sync_336",1,"[{16, 3, 13}, {11, 2, 3}, {3, 13}, {3, 7}, {3, 13}]","[{16, 3, 13}, {3, 13}, {3}, {3, 5}, {0, 1, 3, 14}]",1.0,162.363,32.453,1.26,False,True,BERT4Rec,ml-1m,8192,30,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(2, 2, 2)",genetic_categorized,0.7,"Tue, 17 Dec 2024 23:33:05",0.2,0.2
